frame_index,source_frame_index,unix_time,perf_time,camera_id,label,detected,instant_detected,status,reason,score,object_score,history_score,history_hits,area,aspect,solidity,extent,motion_support,raw_contours,bbox_x,bbox_y,bbox_w,bbox_h
0,12336,1782484222.222270,412.053594,2,right_2,0,0,motion,no_motion_support,0.008289,0.650000,0.000000,0,8487.50,1.5833,0.8784,0.6618,0.0000,6,110,440,142,90
1,12337,1782484222.254636,412.085473,2,right_2,0,0,motion,no_motion_support,0.007968,0.650000,0.000000,0,8159.37,1.3889,0.9123,0.7253,0.0000,5,110,440,125,90
2,12338,1782484222.287676,412.118568,2,right_2,0,0,motion,no_motion_support,0.007523,0.650000,0.000000,0,7703.12,1.2222,0.9348,0.7781,0.0000,4,110,440,110,90
3,12339,1782484222.320645,412.151611,2,right_2,0,0,motion,no_motion_support,0.007309,0.650000,0.000000,0,7484.37,1.2222,0.9197,0.7560,0.0000,4,110,440,110,90
4,12340,1782484222.353644,412.184663,2,right_2,0,0,motion,no_motion_support,0.007019,0.650000,0.000000,0,7187.50,1.1389,0.9285,0.7791,0.0000,5,110,440,102,90
5,12341,1782484222.389786,412.220960,2,right_2,0,0,motion,no_motion_support,0.006955,0.650000,0.000000,0,7121.87,1.1389,0.9253,0.7720,0.0000,4,110,440,102,90
6,12342,1782484222.420781,412.252431,2,right_2,0,0,motion,no_motion_support,0.006732,0.650000,0.000000,0,6893.75,1.1389,0.9207,0.7473,0.0000,4,110,440,102,90
7,12343,1782484222.454773,412.286093,2,right_2,0,0,motion,no_motion_support,0.006519,0.650000,0.000000,0,6675.00,1.1111,0.9239,0.7417,0.0000,4,110,440,100,90
8,12344,1782484222.486821,412.317817,2,right_2,0,0,motion,no_motion_support,0.000882,0.694444,0.000000,0,903.12,2.5000,0.9204,0.5780,0.0000,3,258,672,62,25
9,12345,1782484222.520773,412.351802,2,right_2,0,0,motion,no_motion_support,0.000903,0.694444,0.000000,0,925.00,2.5000,0.9193,0.5920,0.0000,3,258,672,62,25
10,12346,1782484222.553775,412.385017,2,right_2,0,0,motion,no_motion_support,0.000931,0.694444,0.000000,0,953.12,2.6000,0.9187,0.5865,0.0000,3,255,672,65,25
11,12347,1782484222.587773,412.419008,2,right_2,0,0,motion,no_motion_support,0.000964,0.694444,0.000000,0,987.50,2.6000,0.9267,0.6077,0.0000,3,255,672,65,25
12,12348,1782484222.620779,412.452279,2,right_2,1,1,ready,ok,0.004984,0.930000,0.930000,1,5103.12,0.8333,0.9159,0.7560,0.0231,3,110,440,75,90
