event,camera_id,label,frame_index,unix_time,perf_time,hand_index,handedness,hand_score,wrist_x_px,wrist_y_px,wrist_z_rel,wrist_x_norm,wrist_y_norm,thumb_cmc_x_px,thumb_cmc_y_px,thumb_cmc_z_rel,thumb_cmc_x_norm,thumb_cmc_y_norm,thumb_mcp_x_px,thumb_mcp_y_px,thumb_mcp_z_rel,thumb_mcp_x_norm,thumb_mcp_y_norm,thumb_ip_x_px,thumb_ip_y_px,thumb_ip_z_rel,thumb_ip_x_norm,thumb_ip_y_norm,thumb_tip_x_px,thumb_tip_y_px,thumb_tip_z_rel,thumb_tip_x_norm,thumb_tip_y_norm,index_mcp_x_px,index_mcp_y_px,index_mcp_z_rel,index_mcp_x_norm,index_mcp_y_norm,index_pip_x_px,index_pip_y_px,index_pip_z_rel,index_pip_x_norm,index_pip_y_norm,index_dip_x_px,index_dip_y_px,index_dip_z_rel,index_dip_x_norm,index_dip_y_norm,index_tip_x_px,index_tip_y_px,index_tip_z_rel,index_tip_x_norm,index_tip_y_norm,middle_mcp_x_px,middle_mcp_y_px,middle_mcp_z_rel,middle_mcp_x_norm,middle_mcp_y_norm,middle_pip_x_px,middle_pip_y_px,middle_pip_z_rel,middle_pip_x_norm,middle_pip_y_norm,middle_dip_x_px,middle_dip_y_px,middle_dip_z_rel,middle_dip_x_norm,middle_dip_y_norm,middle_tip_x_px,middle_tip_y_px,middle_tip_z_rel,middle_tip_x_norm,middle_tip_y_norm,ring_mcp_x_px,ring_mcp_y_px,ring_mcp_z_rel,ring_mcp_x_norm,ring_mcp_y_norm,ring_pip_x_px,ring_pip_y_px,ring_pip_z_rel,ring_pip_x_norm,ring_pip_y_norm,ring_dip_x_px,ring_dip_y_px,ring_dip_z_rel,ring_dip_x_norm,ring_dip_y_norm,ring_tip_x_px,ring_tip_y_px,ring_tip_z_rel,ring_tip_x_norm,ring_tip_y_norm,pinky_mcp_x_px,pinky_mcp_y_px,pinky_mcp_z_rel,pinky_mcp_x_norm,pinky_mcp_y_norm,pinky_pip_x_px,pinky_pip_y_px,pinky_pip_z_rel,pinky_pip_x_norm,pinky_pip_y_norm,pinky_dip_x_px,pinky_dip_y_px,pinky_dip_z_rel,pinky_dip_x_norm,pinky_dip_y_norm,pinky_tip_x_px,pinky_tip_y_px,pinky_tip_z_rel,pinky_tip_x_norm,pinky_tip_y_norm
event_20260624_123432_082_right_1_cam_3,3,right_1,328,1782300882.024736,21.153800,0,Right,0.814710,169.99,309.66,-0.000000,0.132806,0.387073,176.97,359.73,-0.050869,0.138259,0.449664,148.58,404.44,-0.074253,0.116075,0.505554,126.03,454.30,-0.086748,0.098458,0.567869,115.57,498.11,-0.095237,0.090291,0.622634,24.92,360.27,-0.065134,0.019467,0.450335,52.50,453.06,-0.096656,0.041014,0.566328,102.58,457.02,-0.110618,0.080144,0.571275,132.74,438.54,-0.114792,0.103701,0.548178,4.50,366.06,-0.045384,0.003514,0.457577,42.89,461.98,-0.078010,0.033510,0.577469,99.53,462.43,-0.084239,0.077761,0.578036,127.32,441.12,-0.082646,0.099466,0.551406,1.44,372.82,-0.029219,0.001121,0.466024,42.59,463.16,-0.056909,0.033271,0.578950,94.78,461.50,-0.053972,0.074043,0.576879,121.59,439.01,-0.046565,0.094994,0.548767,9.21,379.00,-0.016911,0.007192,0.473747,41.39,446.24,-0.039805,0.032336,0.557797,82.69,448.67,-0.041659,0.064604,0.560832,105.29,432.83,-0.036603,0.082254,0.541038
event_20260624_123432_082_right_1_cam_3,3,right_1,329,1782300882.057741,21.187335,0,Right,0.954260,155.68,302.76,-0.000000,0.121628,0.378448,173.79,352.91,-0.055301,0.135775,0.441134,158.21,404.25,-0.082534,0.123601,0.505307,142.87,459.05,-0.096285,0.111614,0.573815,138.52,504.19,-0.106193,0.108221,0.630235,35.85,349.64,-0.086239,0.028011,0.437049,50.89,449.11,-0.113022,0.039755,0.561386,94.11,462.23,-0.120914,0.073521,0.577792,123.44,450.66,-0.122108,0.096440,0.563324,6.65,351.69,-0.061843,0.005195,0.439609,38.37,453.14,-0.088507,0.029977,0.566420,89.29,463.48,-0.089649,0.069757,0.579356,116.15,449.10,-0.087115,0.090743,0.561380,-3.10,358.16,-0.039183,-0.002422,0.447694,31.73,451.82,-0.060794,0.024791,0.564773,79.95,461.02,-0.056490,0.062461,0.576269,106.77,446.63,-0.051133,0.083414,0.558293,-1.08,365.94,-0.020181,-0.000847,0.457430,29.19,434.23,-0.040190,0.022803,0.542789,68.75,444.40,-0.041769,0.053708,0.555502,91.69,434.82,-0.038213,0.071632,0.543524
event_20260624_123432_082_right_1_cam_3,3,right_1,330,1782300882.089737,21.219478,0,Right,0.938210,150.40,313.01,-0.000000,0.117502,0.391261,167.69,355.52,-0.052121,0.131007,0.444404,152.79,401.09,-0.077757,0.119370,0.501358,135.54,449.33,-0.091237,0.105888,0.561663,124.47,490.49,-0.101738,0.097244,0.613109,36.92,359.66,-0.075159,0.028844,0.449570,49.86,442.28,-0.101532,0.038952,0.552848,87.72,461.22,-0.113942,0.068529,0.576522,116.96,455.29,-0.119032,0.091378,0.569115,12.69,365.41,-0.052947,0.009911,0.456758,39.01,451.93,-0.077105,0.030478,0.564911,86.24,467.49,-0.081599,0.067376,0.584359,116.01,457.09,-0.082137,0.090634,0.571366,5.21,372.68,-0.033050,0.004067,0.465854,35.71,452.74,-0.052963,0.027902,0.565930,80.48,465.08,-0.051908,0.062872,0.581348,109.10,453.72,-0.049139,0.085235,0.567149,8.36,378.84,-0.016777,0.006533,0.473551,34.64,440.36,-0.035726,0.027059,0.550455,69.99,451.11,-0.038297,0.054678,0.563892,92.91,443.39,-0.035839,0.072584,0.554234
event_20260624_123432_082_right_1_cam_3,3,right_1,651,1782300892.787636,31.917379,0,Right,0.783201,140.39,317.22,-0.000000,0.109677,0.396524,175.09,328.09,-0.093540,0.136789,0.410111,176.48,365.04,-0.156382,0.137874,0.456306,166.61,409.62,-0.195711,0.130162,0.512024,163.80,455.97,-0.234871,0.127966,0.569957,100.69,308.88,-0.199940,0.078666,0.386105,117.21,403.12,-0.248068,0.091573,0.503897,145.92,463.49,-0.260690,0.114001,0.579366,164.85,510.29,-0.265542,0.128788,0.637862,57.55,318.99,-0.163688,0.044958,0.398733,55.99,425.52,-0.211328,0.043740,0.531895,81.76,494.73,-0.217648,0.063876,0.618416,103.31,543.81,-0.222166,0.080713,0.679756,31.38,340.66,-0.125434,0.024519,0.425821,33.98,444.44,-0.163424,0.026548,0.555556,62.24,498.19,-0.163913,0.048629,0.622736,85.45,530.85,-0.164179,0.066758,0.663561,18.69,367.56,-0.091456,0.014598,0.459448,20.58,439.42,-0.122635,0.016079,0.549280,41.15,485.91,-0.129159,0.032148,0.607388,59.07,513.69,-0.131991,0.046150,0.642111
event_20260624_123432_082_right_1_cam_3,3,right_1,654,1782300892.888634,32.017949,0,Left,0.995744,210.17,294.66,-0.000000,0.164194,0.368327,154.61,324.61,-0.009358,0.120788,0.405769,99.23,362.98,-0.033899,0.077522,0.453725,61.51,398.34,-0.057706,0.048052,0.497929,29.83,427.58,-0.085728,0.023307,0.534481,54.83,333.25,-0.080326,0.042832,0.416559,21.34,411.54,-0.121055,0.016675,0.514424,3.38,470.08,-0.145622,0.002644,0.587602,-9.19,520.93,-0.161794,-0.007180,0.651164,80.08,319.07,-0.094657,0.062562,0.398842,48.95,423.93,-0.133830,0.038245,0.529908,38.86,495.53,-0.149221,0.030357,0.619414,32.61,549.28,-0.161560,0.025475,0.686604,121.94,316.52,-0.106155,0.095267,0.395647,131.33,433.47,-0.134894,0.102603,0.541832,159.79,479.68,-0.131720,0.124838,0.599597,183.31,496.84,-0.129991,0.143210,0.621046,169.06,325.11,-0.118071,0.132082,0.406389,178.44,416.87,-0.141668,0.139406,0.521082,190.99,465.31,-0.141932,0.149209,0.581641,201.53,490.90,-0.141498,0.157444,0.613621
event_20260624_123432_082_right_1_cam_3,3,right_1,655,1782300892.920634,32.050429,0,Left,0.995264,234.91,299.35,-0.000000,0.183527,0.374183,180.15,337.17,-0.019757,0.140740,0.421460,126.53,378.82,-0.047860,0.098850,0.473520,95.03,421.76,-0.072567,0.074245,0.527201,78.12,456.51,-0.100761,0.061035,0.570635,69.44,324.39,-0.089076,0.054252,0.405486,33.83,400.33,-0.131369,0.026429,0.500410,8.26,456.72,-0.157845,0.006454,0.570901,-11.04,506.70,-0.175492,-0.008627,0.633377,91.17,311.83,-0.096966,0.071229,0.389783,61.53,421.83,-0.133764,0.048070,0.527292,50.60,495.18,-0.144901,0.039530,0.618980,40.47,549.36,-0.153980,0.031618,0.686697,132.39,314.02,-0.103058,0.103429,0.392525,134.17,440.16,-0.131336,0.104817,0.550202,164.94,473.08,-0.121360,0.128856,0.591349,189.92,477.07,-0.113694,0.148375,0.596336,182.49,329.01,-0.110809,0.142567,0.411262,186.73,424.75,-0.136627,0.145882,0.530932,198.01,465.50,-0.134114,0.154697,0.581873,207.32,483.01,-0.129691,0.161972,0.603761
event_20260624_123432_082_right_1_cam_3,3,right_1,656,1782300892.956636,32.086092,0,Left,0.998114,243.61,299.45,-0.000000,0.190324,0.374313,186.97,338.75,-0.012969,0.146072,0.423443,134.52,384.81,-0.039260,0.105091,0.481013,106.88,429.60,-0.064212,0.083500,0.537001,93.72,472.23,-0.093208,0.073222,0.590292,69.73,329.41,-0.080866,0.054476,0.411768,29.44,405.81,-0.130659,0.023002,0.507260,7.98,465.56,-0.165207,0.006238,0.581948,-2.60,519.97,-0.187171,-0.002027,0.649961,92.02,315.87,-0.093681,0.071891,0.394835,57.71,429.46,-0.135958,0.045082,0.536827,60.64,503.22,-0.151317,0.047374,0.629029,66.23,553.77,-0.162216,0.051742,0.692209,135.76,317.13,-0.105218,0.106060,0.396418,121.92,433.66,-0.139076,0.095250,0.542076,150.32,478.40,-0.133432,0.117437,0.598003,176.15,493.62,-0.128082,0.137615,0.617031,188.27,331.48,-0.117578,0.147085,0.414351,190.19,421.11,-0.151385,0.148588,0.526383,203.60,466.51,-0.153357,0.159060,0.583143,216.77,487.95,-0.150827,0.169352,0.609940
event_20260624_123432_082_right_1_cam_3,3,right_1,657,1782300892.987636,32.117417,0,Left,0.997821,256.43,293.90,0.000000,0.200336,0.367369,190.73,353.44,0.000318,0.149007,0.441797,140.89,395.78,-0.029834,0.110070,0.494725,116.29,439.16,-0.063153,0.090853,0.548951,102.47,477.51,-0.099841,0.080056,0.596882,71.80,342.94,-0.076580,0.056093,0.428673,32.95,423.33,-0.127669,0.025746,0.529158,13.72,482.83,-0.161347,0.010721,0.603537,4.55,534.22,-0.183310,0.003555,0.667777,95.25,321.68,-0.101400,0.074411,0.402098,50.17,413.19,-0.154220,0.039192,0.516486,27.74,480.24,-0.175745,0.021669,0.600302,16.22,530.67,-0.190141,0.012671,0.663339,142.12,316.89,-0.122718,0.111033,0.396112,124.05,429.82,-0.157319,0.096914,0.537280,160.33,465.91,-0.143527,0.125259,0.582389,188.58,473.31,-0.132891,0.147328,0.591643,195.92,326.02,-0.144637,0.153063,0.407524,198.39,419.51,-0.171460,0.154994,0.524387,215.20,462.81,-0.164981,0.168123,0.578506,230.08,480.05,-0.157758,0.179750,0.600059
event_20260624_123432_082_right_1_cam_3,3,right_1,658,1782300893.021635,32.151381,0,Left,0.995422,267.73,292.50,0.000000,0.209164,0.365622,207.76,357.71,-0.010922,0.162311,0.447139,147.55,401.90,-0.038434,0.115273,0.502374,109.66,441.74,-0.066016,0.085671,0.552173,85.59,473.63,-0.095532,0.066865,0.592032,74.72,349.02,-0.072783,0.058376,0.436281,39.31,444.83,-0.119318,0.030708,0.556036,27.34,511.91,-0.150400,0.021356,0.639882,25.11,565.46,-0.170328,0.019616,0.706825,96.19,321.73,-0.088205,0.075149,0.402162,45.99,412.29,-0.138925,0.035929,0.515361,23.69,485.50,-0.163495,0.018506,0.606877,14.17,540.65,-0.179059,0.011073,0.675818,142.71,313.08,-0.100844,0.111495,0.391344,126.92,431.93,-0.134027,0.099153,0.539916,166.86,455.86,-0.121334,0.130357,0.569826,195.43,449.34,-0.109842,0.152682,0.561675,196.64,320.85,-0.114831,0.153627,0.401063,198.77,425.06,-0.138212,0.155292,0.531325,218.57,458.03,-0.129600,0.170761,0.572542,234.51,462.47,-0.120252,0.183214,0.578088
event_20260624_123432_082_right_1_cam_3,3,right_1,659,1782300893.055634,32.185045,0,Left,0.994241,270.83,292.53,-0.000000,0.211586,0.365667,213.59,380.03,-0.016179,0.166869,0.475036,157.35,432.18,-0.049537,0.122932,0.540225,126.67,472.19,-0.081398,0.098964,0.590243,112.56,502.71,-0.116037,0.087934,0.628382,72.38,358.21,-0.091612,0.056550,0.447757,35.16,457.46,-0.145231,0.027472,0.571824,31.56,532.66,-0.177992,0.024656,0.665826,35.17,589.36,-0.198329,0.027476,0.736701,96.73,330.26,-0.107967,0.075567,0.412827,49.98,439.37,-0.164034,0.039048,0.549218,47.93,521.59,-0.182484,0.037444,0.651991,51.55,574.08,-0.192977,0.040276,0.717595,146.26,319.46,-0.122367,0.114264,0.399323,140.26,442.13,-0.162062,0.109577,0.552657,177.26,461.61,-0.147344,0.138483,0.577018,198.87,445.15,-0.134352,0.155365,0.556439,203.91,325.66,-0.138433,0.159305,0.407072,212.54,432.51,-0.168602,0.166051,0.540642,234.72,458.09,-0.160074,0.183374,0.572618,247.33,449.61,-0.150445,0.193230,0.562014
