camera_id,marker_id,corner_index,residual_px,ransac_inlier,observations,used_observations,jitter_px,image_x,image_y,projected_x,projected_y,world_x_m,world_y_m
2,22,0,18.8067,0,30,30,0.5706,209.867,656.300,192.659,663.888,0.020500,-0.013500
2,22,1,6.3876,0,30,30,0.3145,256.033,632.000,249.706,632.879,0.020500,0.013500
2,22,2,2.1958,1,30,30,0.5497,363.600,631.067,365.250,632.515,0.047500,0.013500
2,22,3,3.7682,0,30,30,0.3727,331.833,660.000,331.403,663.744,0.047500,-0.013500
2,23,0,6.5530,0,18,18,0.3727,268.000,625.833,261.479,626.480,0.020500,0.020500
2,23,1,1.8682,1,18,11,0.2875,298.909,608.000,298.915,606.132,0.020500,0.047500
2,23,2,3.4066,1,18,18,0.6431,391.833,607.944,394.359,605.659,0.047500,0.047500
2,23,3,2.1218,1,18,11,0.3857,371.818,624.000,372.222,626.083,0.047500,0.020500
2,26,0,7.2543,0,30,30,0.7923,314.433,721.467,311.007,727.861,0.054500,-0.047500
2,26,1,1.7066,1,30,30,1.2863,358.633,672.333,358.657,674.040,0.054500,-0.020500
2,26,2,2.0236,1,30,30,0.0000,509.000,676.000,508.774,673.989,0.081500,-0.020500
2,26,3,0.5091,1,30,30,0.4069,503.000,728.967,502.803,728.497,0.081500,-0.047500
2,27,0,3.0233,0,30,30,0.5426,366.767,660.867,367.806,663.706,0.054500,-0.013500
2,27,1,1.7360,1,30,29,0.7167,394.414,631.069,395.504,632.420,0.054500,0.013500
2,27,2,0.2524,1,30,30,0.6574,513.167,632.200,513.369,632.049,0.081500,0.013500
2,27,3,0.8696,1,30,29,0.6615,510.621,664.069,509.917,663.558,0.081500,-0.013500
2,28,0,2.9393,1,30,30,0.7520,399.033,624.000,401.206,625.979,0.054500,0.020500
2,28,1,1.8064,1,30,28,0.6879,418.250,607.000,419.307,605.535,0.054500,0.047500
2,28,2,0.7797,1,30,30,0.5000,516.100,605.800,516.326,605.054,0.081500,0.047500
2,28,3,1.5482,1,30,30,0.4014,513.933,624.033,514.078,625.575,0.081500,0.020500
2,31,0,1.3215,1,30,30,0.5754,554.633,728.967,553.347,728.665,0.088500,-0.047500
2,31,1,2.2811,1,30,30,0.4216,548.933,676.133,548.193,673.976,0.088500,-0.020500
2,31,2,3.6856,1,30,30,0.1795,699.967,671.000,702.211,673.924,0.115500,-0.020500
2,31,3,12.3860,0,30,30,0.4819,743.000,720.367,751.555,729.323,0.115500,-0.047500
2,32,0,0.8076,1,28,28,0.3499,547.857,664.000,547.208,663.520,0.088500,-0.013500
2,32,1,0.9856,1,28,28,0.7354,544.857,632.714,544.233,631.951,0.088500,0.013500
2,32,2,1.8984,1,28,28,1.1551,663.750,633.321,664.488,631.573,0.115500,0.013500
2,32,3,4.2080,0,28,28,0.4670,690.107,660.143,692.809,663.369,0.115500,-0.013500
2,33,0,1.5009,1,26,26,0.4300,544.077,624.038,543.622,625.469,0.088500,0.020500
2,33,1,1.1169,1,26,26,0.0000,542.000,606.000,541.687,604.928,0.088500,0.047500
2,33,2,0.9732,1,26,26,0.3195,641.115,605.000,640.320,604.439,0.115500,0.047500
2,33,3,0.8296,1,26,26,0.5302,658.038,625.577,658.685,625.057,0.115500,0.020500
2,34,0,2.6267,1,13,13,1.1666,543.846,600.000,541.271,600.519,0.088500,0.054500
2,34,1,1.4385,1,13,13,0.6966,540.538,587.385,539.912,586.090,0.088500,0.081500
2,34,2,1.6022,1,13,12,0.3727,623.833,584.000,623.513,585.570,0.115500,0.081500
2,34,3,1.6422,1,13,13,0.8904,636.538,598.385,636.384,600.020,0.115500,0.054500
3,12,0,36.8360,0,30,30,1.0546,1037.433,550.000,1069.814,567.561,-0.047500,-0.013500
3,12,1,69.2971,0,30,30,0.6254,1095.267,568.067,1157.763,598.006,-0.047500,0.013500
3,12,2,35.3098,0,30,30,0.4819,1021.967,584.000,1052.263,602.137,-0.020500,0.013500
3,12,3,16.5921,0,30,30,0.7401,964.367,559.133,976.883,570.025,-0.020500,-0.013500
3,13,0,74.8438,0,30,21,0.6281,1118.714,574.000,1185.575,607.633,-0.047500,0.020500
3,13,1,148.7598,0,30,30,0.6540,1186.367,592.267,1321.412,654.655,-0.047500,0.047500
3,13,2,89.1329,0,30,30,1.1402,1118.900,616.300,1194.885,662.893,-0.020500,0.047500
3,13,3,39.6012,0,30,30,0.4679,1042.900,591.067,1076.283,612.369,-0.020500,0.020500
