frame_index,source_frame_index,unix_time,perf_time,camera_id,label,detected,instant_detected,status,reason,score,object_score,history_score,history_hits,area,aspect,solidity,extent,motion_support,raw_contours,bbox_x,bbox_y,bbox_w,bbox_h
0,308,1782483822.733624,12.565026,1,left_2,0,0,motion,no_motion_support,0.182990,0.680000,0.000000,0,187381.25,3.1944,0.6387,0.4526,0.0000,8,65,440,1150,360
1,309,1782483822.766681,12.597603,1,left_2,0,0,motion,no_motion_support,0.172568,0.682500,0.000000,0,176709.37,3.3407,0.6247,0.4644,0.0000,7,65,462,1128,338
2,310,1782483822.800363,12.631606,1,left_2,0,0,motion,no_motion_support,0.175818,0.682222,0.000000,0,180037.50,3.3309,0.6345,0.4676,0.0000,5,65,460,1132,340
3,311,1782483822.833365,12.664879,1,left_2,0,0,motion,no_motion_support,0.169482,0.682222,0.000000,0,173550.00,3.3162,0.6137,0.4527,0.0000,5,65,460,1128,340
4,312,1782483822.866471,12.697666,1,left_2,0,0,motion,no_motion_support,0.160971,0.682500,0.000000,0,164834.37,3.3111,0.5972,0.4370,0.0000,5,65,462,1118,338
5,313,1782483822.902363,12.732956,1,left_2,0,0,motion,no_motion_support,0.163708,0.682500,0.000000,0,167637.50,3.3111,0.6004,0.4445,0.0000,6,65,462,1118,338
6,314,1782483822.934363,12.765157,1,left_2,0,0,motion,no_motion_support,0.155487,0.683056,0.000000,0,159218.75,3.3684,0.5728,0.4275,0.0000,5,65,468,1120,332
7,315,1782483822.966363,12.797922,1,left_2,0,0,motion,no_motion_support,0.147137,0.683056,0.000000,0,150668.75,3.3609,0.5542,0.4055,0.0000,5,65,468,1118,332
8,316,1782483823.001366,12.832573,1,left_2,0,0,motion,no_motion_support,0.146829,0.683056,0.000000,0,150353.12,3.3609,0.5609,0.4046,0.0000,4,65,468,1118,332
9,317,1782483823.034470,12.865457,1,left_2,0,0,motion,no_motion_support,0.147089,0.683056,0.000000,0,150618.75,3.3534,0.5660,0.4063,0.0000,5,65,468,1115,332
10,318,1782483823.068382,12.899856,1,left_2,0,0,motion,no_motion_support,0.137885,0.683889,0.000000,0,141193.75,3.3846,0.5592,0.3949,0.0000,5,65,475,1100,325
11,319,1782483823.101228,12.932347,1,left_2,0,0,motion,no_motion_support,0.132370,0.684444,0.000000,0,135546.87,3.4297,0.5835,0.3860,0.0000,6,65,480,1098,320
12,320,1782483823.134608,12.965455,1,left_2,0,0,motion,no_motion_support,0.130923,0.682778,0.000000,0,134065.62,3.2687,0.5744,0.3655,0.0000,7,65,465,1095,335
13,321,1782483823.166033,12.997596,1,left_2,0,0,motion,no_motion_support,0.120709,0.684444,0.000000,0,123606.25,3.3984,0.5715,0.3552,0.0000,7,65,480,1088,320
14,322,1782483823.200238,13.031232,1,left_2,0,0,motion,no_motion_support,0.123038,0.684722,0.000000,0,125990.62,3.3701,0.5919,0.3709,0.0000,7,65,482,1070,318
15,323,1782483823.235085,13.065774,1,left_2,0,0,motion,no_motion_support,0.058472,0.694167,0.000000,0,59875.00,2.0968,0.7146,0.5283,0.0000,8,658,568,488,232
16,324,1782483823.268082,13.098874,1,left_2,0,0,motion,no_motion_support,0.057794,0.694167,0.000000,0,59181.25,2.0860,0.7201,0.5248,0.0000,7,658,568,485,232
17,325,1782483823.301082,13.131847,1,left_2,0,0,motion,no_motion_support,0.055640,0.694722,0.000000,0,56975.00,2.0769,0.7118,0.5300,0.0000,11,655,572,472,228
18,326,1782483823.333083,13.164186,1,left_2,0,0,motion,no_motion_support,0.055051,0.694722,0.000000,0,56371.87,2.0220,0.7153,0.5387,0.0000,9,662,572,460,228
19,327,1782483823.366196,13.197338,1,left_2,0,0,motion,no_motion_support,0.054608,0.694167,0.000000,0,55918.75,1.9785,0.7063,0.5228,0.0000,7,668,568,460,232
20,328,1782483823.402086,13.232524,1,left_2,0,0,motion,no_motion_support,0.052991,0.694722,0.000000,0,54262.50,1.9560,0.6986,0.5360,0.0000,12,658,572,445,228
21,329,1782483823.433085,13.264113,1,left_2,0,0,motion,no_motion_support,0.051520,0.694722,0.000000,0,52756.25,1.9011,0.7125,0.5362,0.0000,12,670,572,432,228
22,330,1782483823.467203,13.298159,1,left_2,0,0,motion,no_motion_support,0.051355,0.694722,0.000000,0,52587.50,1.9121,0.7202,0.5314,0.0000,7,670,572,435,228
23,331,1782483823.500196,13.331477,1,left_2,0,0,motion,no_motion_support,0.050076,0.694722,0.000000,0,51278.12,1.8901,0.7018,0.5242,0.0000,9,670,572,430,228
24,332,1782483823.534085,13.365415,1,left_2,0,0,motion,no_motion_support,0.047171,0.694722,0.000000,0,48303.12,1.8681,0.6696,0.4996,0.0000,6,670,572,425,228
25,333,1782483823.568089,13.398972,1,left_2,1,1,ready,ok,0.050284,0.964722,0.964722,1,51490.62,2.0316,0.6848,0.4493,0.0476,8,205,522,482,238
26,334,1782483823.600083,13.431358,1,left_2,0,0,motion,no_motion_support,0.129993,0.685833,0.000000,0,133112.50,3.3252,0.5944,0.4234,0.0000,8,65,492,1022,308
27,335,1782483823.633093,13.464415,1,left_2,0,0,motion,no_motion_support,0.116840,0.685833,0.000000,0,119643.75,3.2846,0.5457,0.3852,0.0000,13,65,492,1010,308
28,336,1782483823.666234,13.497601,1,left_2,1,1,ready,ok,0.043948,0.962222,0.962222,1,45003.12,2.2093,0.6517,0.4407,0.0061,14,205,522,475,215
29,337,1782483823.701253,13.531475,1,left_2,0,0,motion,no_motion_support,0.034952,0.793586,0.000000,0,35790.62,2.7761,0.6510,0.4595,0.0025,8,205,525,465,168
