group,camera_id,label,frame_index,unix_time,perf_time,hand_index,handedness,hand_score,wrist_x_px,wrist_y_px,wrist_z_rel,wrist_x_norm,wrist_y_norm,thumb_cmc_x_px,thumb_cmc_y_px,thumb_cmc_z_rel,thumb_cmc_x_norm,thumb_cmc_y_norm,thumb_mcp_x_px,thumb_mcp_y_px,thumb_mcp_z_rel,thumb_mcp_x_norm,thumb_mcp_y_norm,thumb_ip_x_px,thumb_ip_y_px,thumb_ip_z_rel,thumb_ip_x_norm,thumb_ip_y_norm,thumb_tip_x_px,thumb_tip_y_px,thumb_tip_z_rel,thumb_tip_x_norm,thumb_tip_y_norm,index_mcp_x_px,index_mcp_y_px,index_mcp_z_rel,index_mcp_x_norm,index_mcp_y_norm,index_pip_x_px,index_pip_y_px,index_pip_z_rel,index_pip_x_norm,index_pip_y_norm,index_dip_x_px,index_dip_y_px,index_dip_z_rel,index_dip_x_norm,index_dip_y_norm,index_tip_x_px,index_tip_y_px,index_tip_z_rel,index_tip_x_norm,index_tip_y_norm,middle_mcp_x_px,middle_mcp_y_px,middle_mcp_z_rel,middle_mcp_x_norm,middle_mcp_y_norm,middle_pip_x_px,middle_pip_y_px,middle_pip_z_rel,middle_pip_x_norm,middle_pip_y_norm,middle_dip_x_px,middle_dip_y_px,middle_dip_z_rel,middle_dip_x_norm,middle_dip_y_norm,middle_tip_x_px,middle_tip_y_px,middle_tip_z_rel,middle_tip_x_norm,middle_tip_y_norm,ring_mcp_x_px,ring_mcp_y_px,ring_mcp_z_rel,ring_mcp_x_norm,ring_mcp_y_norm,ring_pip_x_px,ring_pip_y_px,ring_pip_z_rel,ring_pip_x_norm,ring_pip_y_norm,ring_dip_x_px,ring_dip_y_px,ring_dip_z_rel,ring_dip_x_norm,ring_dip_y_norm,ring_tip_x_px,ring_tip_y_px,ring_tip_z_rel,ring_tip_x_norm,ring_tip_y_norm,pinky_mcp_x_px,pinky_mcp_y_px,pinky_mcp_z_rel,pinky_mcp_x_norm,pinky_mcp_y_norm,pinky_pip_x_px,pinky_pip_y_px,pinky_pip_z_rel,pinky_pip_x_norm,pinky_pip_y_norm,pinky_dip_x_px,pinky_dip_y_px,pinky_dip_z_rel,pinky_dip_x_norm,pinky_dip_y_norm,pinky_tip_x_px,pinky_tip_y_px,pinky_tip_z_rel,pinky_tip_x_norm,pinky_tip_y_norm
event_group_000_left_1_left_2_right_1_right_2,0,left_1,258,1782300879.153974,18.282884,0,Right,0.773165,788.33,728.06,0.000000,0.615881,0.910074,809.47,727.31,-0.006860,0.632395,0.909140,831.02,734.76,-0.012188,0.649237,0.918455,849.83,740.42,-0.016961,0.663933,0.925523,865.36,744.88,-0.021571,0.676060,0.931104,825.37,759.45,-0.005879,0.644819,0.949317,842.91,776.42,-0.009966,0.658521,0.970529,853.79,787.63,-0.013518,0.667020,0.984538,861.13,794.81,-0.015646,0.672761,0.993517,816.70,766.84,-0.005095,0.638046,0.958547,831.69,784.06,-0.008504,0.649761,0.980080,842.25,796.04,-0.011236,0.658011,0.995054,848.95,804.14,-0.012696,0.663241,1.005180,807.78,770.99,-0.005188,0.631079,0.963736,820.22,787.72,-0.008719,0.640800,0.984655,829.50,797.80,-0.009738,0.648049,0.997255,834.83,806.32,-0.009676,0.652207,1.007906,799.56,773.67,-0.005846,0.624656,0.967083,808.93,786.74,-0.008102,0.631974,0.983424,816.51,794.29,-0.007637,0.637897,0.992860,820.75,799.62,-0.006763,0.641211,0.999526
event_group_000_left_1_left_2_right_1_right_2,0,left_1,280,1782300879.886151,19.015557,0,Right,0.805034,787.78,730.39,0.000000,0.615455,0.912992,808.06,730.17,-0.004683,0.631300,0.912711,827.47,737.53,-0.008913,0.646460,0.921913,842.41,743.26,-0.012818,0.658132,0.929080,853.11,749.44,-0.016684,0.666495,0.936800,825.00,759.01,-0.006352,0.644532,0.948757,840.28,776.56,-0.010072,0.656465,0.970696,850.54,787.42,-0.013216,0.664484,0.984280,857.74,794.35,-0.015229,0.670108,0.992935,816.90,766.01,-0.006511,0.638201,0.957510,829.11,784.82,-0.009317,0.647738,0.981021,837.70,797.16,-0.011818,0.654450,0.996450,843.45,805.40,-0.013585,0.658945,1.006755,807.92,770.35,-0.007158,0.631187,0.962932,818.16,788.36,-0.009315,0.639190,0.985455,826.19,798.10,-0.010010,0.645459,0.997626,830.71,806.07,-0.010469,0.648993,1.007587,799.13,773.19,-0.008234,0.624323,0.966488,806.37,786.86,-0.009744,0.629973,0.983578,811.85,794.79,-0.009370,0.634256,0.993483,814.55,800.29,-0.008893,0.636371,1.000357
event_group_000_left_1_left_2_right_1_right_2,0,left_1,281,1782300879.918151,19.047898,0,Right,0.810976,789.85,733.59,0.000000,0.617070,0.916990,810.07,732.63,-0.003053,0.632868,0.915782,831.80,740.14,-0.005967,0.649845,0.925170,847.35,748.08,-0.008454,0.661992,0.935106,858.98,754.71,-0.010605,0.671079,0.943390,828.58,756.39,-0.004986,0.647329,0.945482,844.12,769.21,-0.009544,0.659472,0.961513,854.09,780.44,-0.013826,0.667258,0.975555,860.93,788.00,-0.016440,0.672603,0.984998,821.24,764.82,-0.004918,0.641596,0.956025,835.87,780.90,-0.008235,0.653022,0.976125,846.92,793.50,-0.011283,0.661658,0.991878,854.53,801.81,-0.013319,0.667599,1.002266,812.69,771.33,-0.005038,0.634910,0.964165,825.73,788.37,-0.007570,0.645099,0.985465,835.75,798.62,-0.008074,0.652927,0.998275,842.07,806.24,-0.008017,0.657868,1.007805,803.90,776.36,-0.005299,0.628049,0.970454,813.05,789.64,-0.006460,0.635196,0.987051,820.83,797.43,-0.005663,0.641271,0.996788,825.64,803.48,-0.004697,0.645033,1.004355
event_group_000_left_1_left_2_right_1_right_2,0,left_1,282,1782300879.953153,19.082015,0,Right,0.742089,789.58,732.41,0.000000,0.616863,0.915516,805.98,729.61,-0.005794,0.629668,0.912012,824.63,736.14,-0.009767,0.644242,0.920176,838.69,742.55,-0.012882,0.655223,0.928185,850.47,748.46,-0.015847,0.664432,0.935576,824.10,753.04,-0.009223,0.643825,0.941298,837.88,767.51,-0.014883,0.654590,0.959394,846.99,778.09,-0.018870,0.661714,0.972618,853.52,785.67,-0.021273,0.666813,0.982088,818.22,761.00,-0.008603,0.639236,0.951250,831.56,776.81,-0.012718,0.649654,0.971006,840.78,787.29,-0.014974,0.656858,0.984116,848.12,795.24,-0.016544,0.662596,0.994052,811.25,767.37,-0.008459,0.633791,0.959210,823.76,782.61,-0.011636,0.643563,0.978262,833.15,792.32,-0.011529,0.650902,0.990395,840.77,800.63,-0.011281,0.656851,1.000789,804.42,771.76,-0.008830,0.628452,0.964704,813.61,784.90,-0.011279,0.635632,0.981124,821.16,793.28,-0.010974,0.641535,0.991602,827.24,800.03,-0.010387,0.646283,1.000032
event_group_000_left_1_left_2_right_1_right_2,0,left_1,283,1782300879.986154,19.115851,0,Right,0.572318,788.72,730.63,0.000000,0.616185,0.913291,802.77,725.81,-0.006960,0.627167,0.907259,818.57,729.18,-0.011265,0.639511,0.911478,830.05,733.38,-0.014609,0.648475,0.916731,839.50,737.83,-0.017778,0.655858,0.922293,821.63,750.25,-0.007833,0.641901,0.937814,834.05,764.04,-0.012264,0.651605,0.955053,842.08,774.47,-0.015936,0.657878,0.968089,847.58,781.80,-0.018263,0.662173,0.977254,815.77,757.96,-0.006372,0.637317,0.947456,827.46,773.04,-0.009070,0.646450,0.966303,835.48,783.03,-0.011263,0.652722,0.978787,841.88,790.52,-0.012934,0.657718,0.988148,809.20,764.05,-0.005611,0.632184,0.955065,819.35,778.61,-0.007415,0.640115,0.973259,827.51,788.00,-0.007531,0.646493,0.985005,833.83,795.84,-0.007697,0.651431,0.994805,802.79,768.08,-0.005550,0.627182,0.960094,810.20,780.17,-0.006983,0.632970,0.975213,816.63,788.50,-0.006756,0.637990,0.985624,821.68,795.22,-0.006419,0.641938,0.994024
event_group_000_left_1_left_2_right_1_right_2,0,left_1,284,1782300880.020153,19.149413,0,Right,0.748564,790.95,730.84,0.000000,0.617930,0.913549,805.41,728.88,-0.004048,0.629225,0.911100,821.16,735.42,-0.006783,0.641534,0.919275,832.42,742.31,-0.008897,0.650324,0.927885,841.26,748.55,-0.010967,0.657231,0.935689,822.20,749.87,-0.006810,0.642347,0.937341,833.76,763.89,-0.011540,0.651374,0.954868,841.89,775.09,-0.015144,0.657730,0.968858,848.01,783.75,-0.017400,0.662504,0.979693,816.51,757.13,-0.006750,0.637900,0.946411,827.46,772.22,-0.010025,0.646455,0.965270,835.79,783.17,-0.012289,0.652963,0.978966,842.68,792.39,-0.013939,0.658345,0.990485,809.48,762.83,-0.006975,0.632403,0.953536,819.33,777.18,-0.009752,0.640102,0.971473,827.58,787.68,-0.010283,0.646549,0.984602,834.48,796.93,-0.010525,0.651940,0.996164,802.17,766.62,-0.007510,0.626692,0.958280,809.50,778.51,-0.009612,0.632419,0.973141,815.86,787.17,-0.009425,0.637388,0.983962,821.39,794.77,-0.009015,0.641708,0.993462
event_group_000_left_1_left_2_right_1_right_2,0,left_1,285,1782300880.054154,19.183229,0,Right,0.689312,790.75,731.37,0.000000,0.617771,0.914216,805.84,730.34,-0.002668,0.629563,0.912925,821.05,735.70,-0.004685,0.641445,0.919631,831.43,741.58,-0.006408,0.649557,0.926970,837.92,748.81,-0.007883,0.654629,0.936010,819.82,747.75,-0.003149,0.640482,0.934682,832.14,759.99,-0.005817,0.650109,0.949986,839.77,769.14,-0.008159,0.656070,0.961424,845.20,775.16,-0.009678,0.660310,0.968955,814.97,754.51,-0.002868,0.636696,0.943134,825.79,767.71,-0.004290,0.645146,0.959637,833.27,776.74,-0.005878,0.650995,0.970926,839.56,783.51,-0.007220,0.655909,0.979383,808.84,759.93,-0.002856,0.631908,0.949919,818.34,773.30,-0.003604,0.639332,0.966623,825.63,781.52,-0.003469,0.645020,0.976897,831.28,788.38,-0.003553,0.649436,0.985471,802.42,763.84,-0.003098,0.626888,0.954795,809.07,774.50,-0.003439,0.632085,0.968122,814.92,781.61,-0.002902,0.636659,0.977008,819.52,787.26,-0.002484,0.640246,0.984080
event_group_000_left_1_left_2_right_1_right_2,0,left_1,286,1782300880.086152,19.215847,0,Right,0.762456,790.79,731.36,0.000000,0.617802,0.914201,803.48,731.77,-0.002776,0.627716,0.914712,816.71,737.79,-0.004888,0.638053,0.922242,824.97,744.24,-0.006622,0.644511,0.930305,829.99,751.63,-0.008180,0.648433,0.939540,817.01,747.39,-0.004896,0.638287,0.934232,827.53,759.30,-0.008174,0.646510,0.949122,833.91,768.55,-0.010448,0.651494,0.960692,838.19,775.14,-0.011767,0.654834,0.968929,812.94,753.10,-0.004749,0.635111,0.941378,822.53,765.95,-0.006709,0.642603,0.957438,828.99,774.49,-0.007830,0.647646,0.968109,834.21,781.23,-0.008694,0.651723,0.976541,807.43,757.59,-0.004854,0.630807,0.946991,816.22,770.24,-0.006581,0.637669,0.962794,822.58,777.90,-0.006636,0.642643,0.972373,827.50,784.43,-0.006583,0.646488,0.980543,801.59,760.92,-0.005143,0.626244,0.951153,808.15,771.37,-0.006456,0.631365,0.964215,813.41,778.07,-0.006256,0.635474,0.972591,817.36,783.37,-0.005921,0.638564,0.979209
event_group_000_left_1_left_2_right_1_right_2,0,left_1,287,1782300880.119151,19.248932,0,Right,0.822204,789.94,730.67,0.000000,0.617143,0.913336,803.91,730.71,-0.000117,0.628053,0.913386,817.15,736.93,-0.000040,0.638398,0.921159,824.66,744.15,-0.000168,0.644269,0.930193,829.21,751.92,-0.000129,0.647823,0.939904,815.74,746.03,0.001838,0.637300,0.932542,825.62,757.16,0.001240,0.645012,0.946446,831.82,765.14,0.000165,0.649862,0.956425,836.45,770.54,-0.000557,0.653474,0.963176,811.60,751.92,0.001445,0.634066,0.939905,820.60,763.24,0.001975,0.641095,0.954055,827.31,770.86,0.001067,0.646339,0.963577,833.00,777.05,0.000149,0.650778,0.971308,806.26,756.57,0.000840,0.629890,0.945710,814.58,767.93,0.001244,0.636392,0.959916,821.29,774.76,0.000897,0.641632,0.968454,826.70,780.86,0.000461,0.645862,0.976076,800.29,760.22,0.000212,0.625227,0.950270,806.10,769.57,0.000884,0.629766,0.961958,811.44,775.46,0.001440,0.633936,0.969328,815.61,780.18,0.001762,0.637194,0.975225
event_group_000_left_1_left_2_right_1_right_2,0,left_1,288,1782300880.153152,19.282830,0,Right,0.887348,789.01,730.73,0.000000,0.616418,0.913408,802.55,727.04,-0.003862,0.626991,0.908799,817.41,730.17,-0.006412,0.638600,0.912718,827.52,734.47,-0.008338,0.646497,0.918081,835.34,737.83,-0.010197,0.652609,0.922291,815.27,744.84,-0.006264,0.636932,0.931052,824.63,755.82,-0.010061,0.644239,0.944777,831.62,764.32,-0.012921,0.649705,0.955401,836.97,770.91,-0.014792,0.653879,0.963633,809.25,751.14,-0.006267,0.632226,0.938920,819.06,762.40,-0.009270,0.639892,0.953001,826.86,770.95,-0.011359,0.645986,0.963693,833.29,778.02,-0.012872,0.651005,0.972529,802.85,756.09,-0.006500,0.627227,0.945118,811.71,766.78,-0.008917,0.634152,0.958469,819.50,774.54,-0.009298,0.640233,0.968179,825.98,780.91,-0.009408,0.645297,0.976132,796.65,759.71,-0.007066,0.622385,0.949641,803.70,769.16,-0.009158,0.627892,0.961452,809.87,775.63,-0.009089,0.632713,0.969543,815.26,780.91,-0.008723,0.636920,0.976132
