frame_index,source_frame_index,unix_time,perf_time,camera_id,label,detected,instant_detected,status,reason,score,object_score,history_score,history_hits,area,aspect,solidity,extent,motion_support,raw_contours,bbox_x,bbox_y,bbox_w,bbox_h
0,4100,1782483949.094884,138.925967,2,right_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
1,4101,1782483949.127096,138.958444,2,right_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
2,4102,1782483949.160096,138.991174,2,right_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
3,4103,1782483949.195483,139.026313,2,right_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
4,4104,1782483949.227805,139.059600,2,right_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
5,4105,1782483949.260059,139.091270,2,right_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
6,4106,1782483949.295055,139.126563,2,right_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
7,4107,1782483949.328098,139.159260,2,right_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
8,4108,1782483949.368060,139.199119,2,right_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
9,4109,1782483949.395095,139.226334,2,right_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
10,4110,1782483949.428060,139.259183,2,right_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
11,4111,1782483949.461094,139.292414,2,right_2,0,0,motion,area_reject,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,2,,,,
12,4112,1782483949.494059,139.325421,2,right_2,0,0,motion,no_motion_support,0.001169,0.656667,0.000000,0,1196.87,3.1429,0.6767,0.3109,0.0000,2,1020,498,110,35
13,4113,1782483949.528094,139.359581,2,right_2,0,0,motion,no_motion_support,0.001233,0.657500,0.000000,0,1262.50,3.2308,0.7138,0.3700,0.0000,3,1042,502,105,32
14,4114,1782483949.560472,139.392050,2,right_2,0,0,motion,tiny_box,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,2,,,,
15,4115,1782483949.594784,139.426112,2,right_2,0,0,motion,no_motion_support,0.000949,0.656667,0.000000,0,971.87,2.5714,0.7405,0.3085,0.0000,3,1042,498,90,35
16,4116,1782483949.627024,139.458045,2,right_2,0,0,motion,no_motion_support,0.001706,0.656389,0.000000,0,1746.87,3.0000,0.7764,0.4141,0.0000,2,1045,495,112,38
17,4117,1782483949.660984,139.492102,2,right_2,0,0,motion,no_motion_support,0.001202,0.656667,0.000000,0,1231.25,3.0714,0.6735,0.3272,0.0000,1,1048,498,108,35
18,4118,1782483949.694239,139.525627,2,right_2,0,0,motion,no_motion_support,0.001727,0.656667,0.000000,0,1768.75,3.9286,0.7219,0.3675,0.0000,2,1042,498,138,35
19,4119,1782483949.728247,139.559401,2,right_2,0,0,motion,no_motion_support,0.003098,0.657500,0.000000,0,3171.87,3.6842,0.6200,0.3816,0.0000,3,1040,495,175,48
20,4120,1782483949.761711,139.592352,2,right_2,0,0,motion,no_motion_support,0.002536,0.656667,0.000000,0,2596.87,4.2500,0.6554,0.3819,0.0000,1,1045,495,170,40
21,4121,1782483949.794812,139.625762,2,right_2,0,0,motion,no_motion_support,0.002380,0.657222,0.000000,0,2437.50,4.3750,0.5905,0.3482,0.0000,1,1040,498,175,40
22,4122,1782483949.828441,139.659112,2,right_2,0,0,motion,no_motion_support,0.003702,0.657500,0.000000,0,3790.62,4.1176,0.7918,0.5097,0.0000,3,1040,498,175,42
23,4123,1782483949.861747,139.692444,2,right_2,0,0,motion,no_motion_support,0.003436,0.657500,0.000000,0,3518.75,3.9412,0.7629,0.4943,0.0000,1,1048,498,168,42
24,4124,1782483949.893828,139.724969,2,right_2,0,0,motion,no_motion_support,0.003232,0.657500,0.000000,0,3309.37,3.9412,0.7395,0.4649,0.0000,1,1048,498,168,42
25,4125,1782483949.927279,139.758799,2,right_2,0,0,motion,no_motion_support,0.003845,0.657222,0.000000,0,3937.50,3.8333,0.7905,0.5072,0.0000,4,1042,495,172,45
26,4126,1782483949.960504,139.791589,2,right_2,1,1,ready,ok,0.005179,0.932500,0.932500,1,5303.12,1.9714,0.5969,0.3513,0.1085,2,1042,452,172,88
27,4127,1782483949.995764,139.827186,2,right_2,1,1,ready,ok,0.004611,0.933611,0.933611,1,4721.87,2.3793,0.6837,0.3776,0.1244,2,1042,465,172,72
28,4128,1782483950.026804,139.857896,2,right_2,0,0,motion,no_motion_support,0.006842,0.651944,0.000000,0,7006.25,2.2791,0.5156,0.2660,0.0000,1,970,440,245,108
29,4129,1782483950.060807,139.892125,2,right_2,1,1,ready,ok,0.008395,0.933333,0.933333,1,8596.87,2.3333,0.4990,0.2559,0.0419,1,935,440,280,120
30,4130,1782483950.095310,139.926073,2,right_2,1,1,ready,ok,0.008484,0.932222,0.932222,1,8687.50,2.2955,0.5746,0.3128,0.0205,1,962,440,252,110
31,4131,1782483950.128434,139.959802,2,right_2,1,1,ready,ok,0.009717,0.933333,0.933333,1,9950.00,2.3333,0.5525,0.2961,0.0132,1,935,440,280,120
32,4132,1782483950.161476,139.992395,2,right_2,0,0,motion,no_motion_support,0.011642,0.853454,0.000000,0,11921.87,2.0351,0.5428,0.2885,0.0042,1,925,440,290,142
33,4133,1782483950.195435,140.026159,2,right_2,1,1,ready,ok,0.012009,0.933333,0.933333,1,12296.87,2.3958,0.5936,0.3564,0.0275,1,928,440,288,120
34,4134,1782483950.227478,140.058621,2,right_2,1,1,ready,ok,0.012549,0.934722,0.934722,1,12850.00,2.3878,0.6056,0.3586,0.0549,1,922,445,292,122
35,4135,1782483950.262435,140.093149,2,right_2,0,0,motion,no_motion_support,0.015613,0.657500,0.000000,0,15987.50,2.7551,0.6318,0.3867,0.0000,2,878,458,338,122
36,4136,1782483950.295899,140.126901,2,right_2,1,1,ready,ok,0.015717,0.939722,0.939722,1,16093.75,2.2182,0.6132,0.3838,0.0145,2,910,460,305,138
37,4137,1782483950.327939,140.159005,2,right_2,1,1,ready,ok,0.015622,0.937222,0.937222,1,15996.87,2.1613,0.5220,0.3081,0.0581,1,880,440,335,155
38,4138,1782483950.361426,140.192024,2,right_2,1,1,ready,ok,0.023407,0.942500,0.942500,1,23968.75,1.7922,0.6467,0.3609,0.0228,3,870,445,345,192
39,4139,1782483950.394532,140.225530,2,right_2,1,1,ready,ok,0.022113,0.946667,0.946667,1,22643.75,2.2188,0.7115,0.3987,0.0377,2,860,480,355,160
40,4140,1782483950.429423,140.260307,2,right_2,1,1,ready,ok,0.018591,0.945833,0.945833,1,19037.50,2.6792,0.6897,0.4047,0.0198,2,860,490,355,132
41,4141,1782483950.462431,140.293203,2,right_2,1,1,ready,ok,0.026019,0.947778,0.947778,1,26643.75,2.6379,0.7449,0.4804,0.0221,3,832,492,382,145
42,4142,1782483950.495425,140.326961,2,right_2,1,1,ready,ok,0.029681,0.948611,0.948611,1,30393.75,2.9016,0.7210,0.4504,0.0082,4,772,492,442,152
43,4143,1782483950.529423,140.360358,2,right_2,1,1,ready,ok,0.026245,0.948056,0.948056,1,26875.00,2.7544,0.7603,0.4805,0.0329,5,802,495,392,142
44,4144,1782483950.560425,140.391782,2,right_2,1,1,ready,ok,0.028900,0.953333,0.953333,1,29593.75,2.3816,0.6496,0.3442,0.0306,6,730,495,452,190
45,4145,1782483950.594462,140.425606,2,right_2,1,1,ready,ok,0.051816,0.958333,0.958333,1,53059.37,1.4044,0.6094,0.3268,0.0383,7,738,442,478,340
46,4146,1782483950.628425,140.459609,2,right_2,0,0,motion,no_motion_support,0.040863,0.751719,0.000000,0,41843.75,1.6408,0.6533,0.3846,0.0018,2,768,440,422,258
47,4147,1782483950.661464,140.492896,2,right_2,1,1,ready,ok,0.031461,0.950278,0.950278,1,32215.62,2.3803,0.6740,0.4296,0.0678,4,758,488,422,178
48,4148,1782483950.694466,140.525600,2,right_2,1,1,ready,ok,0.044278,0.962500,0.962500,1,45340.62,1.8095,0.6867,0.3636,0.0399,6,710,500,475,262
49,4149,1782483950.728014,140.559213,2,right_2,0,0,motion,no_motion_support,0.031726,0.788625,0.000000,0,32487.50,2.9672,0.7823,0.4708,0.0025,3,722,500,452,152
50,4150,1782483950.760390,140.591485,2,right_2,0,0,motion,no_motion_support,0.032355,0.670278,0.000000,0,33131.25,2.9344,0.7419,0.4855,0.0000,3,725,500,448,152
51,4151,1782483950.794386,140.625680,2,right_2,0,0,motion,no_motion_support,0.039294,0.673056,0.000000,0,40237.50,2.6761,0.7753,0.4772,0.0000,3,700,500,475,178
52,4152,1782483950.829343,140.660373,2,right_2,0,0,motion,no_motion_support,0.038425,0.691684,0.000000,0,39346.87,2.1461,0.6235,0.3703,0.0005,2,698,462,478,222
53,4153,1782483950.860385,140.691466,2,right_2,0,0,motion,no_motion_support,0.034189,0.708388,0.000000,0,35009.37,2.4189,0.6594,0.4229,0.0009,2,725,465,448,185
54,4154,1782483950.894786,140.725836,2,right_2,1,1,ready,ok,0.038840,0.951111,0.951111,1,39771.87,2.5000,0.6697,0.4184,0.0365,3,688,482,488,195
55,4155,1782483950.927822,140.759180,2,right_2,1,1,ready,ok,0.049878,0.953333,0.953333,1,51075.00,1.6917,0.6201,0.3355,0.0592,2,698,440,508,300
56,4156,1782483950.960821,140.792236,2,right_2,1,1,ready,ok,0.047144,0.948333,0.948333,1,48275.00,1.9216,0.6669,0.3864,0.0159,2,715,440,490,255
57,4157,1782483950.993821,140.825336,2,right_2,1,1,ready,ok,0.049139,0.948611,0.948611,1,50318.75,1.9515,0.6861,0.3889,0.0270,3,702,440,502,258
58,4158,1782483951.027786,140.858938,2,right_2,1,1,ready,ok,0.049963,0.960556,0.960556,1,51162.50,2.0294,0.7120,0.3877,0.0300,3,692,495,518,255
59,4159,1782483951.060784,140.891976,2,right_2,1,1,ready,ok,0.045181,0.959722,0.959722,1,46265.62,2.1579,0.6757,0.3801,0.0322,4,702,500,512,238
60,4160,1782483951.093783,140.925158,2,right_2,1,1,ready,ok,0.044315,0.951667,0.951667,1,45378.12,1.9787,0.6725,0.4153,0.0302,2,705,465,465,235
61,4161,1782483951.126827,140.957835,2,right_2,1,1,ready,ok,0.050500,0.960000,0.960000,1,51712.50,2.3696,0.7076,0.4125,0.0224,4,665,505,545,230
62,4162,1782483951.162109,140.992929,2,right_2,1,1,ready,ok,0.043997,0.952222,0.952222,1,45053.12,2.2614,0.6419,0.4116,0.0244,2,668,475,498,220
63,4163,1782483951.194109,141.025490,2,right_2,1,1,ready,ok,0.047751,0.959444,0.959444,1,48896.87,2.0938,0.6809,0.4054,0.0543,4,668,498,502,240
64,4164,1782483951.227585,141.058637,2,right_2,1,1,ready,ok,0.059875,0.963611,0.963611,1,61312.50,1.8974,0.6311,0.3777,0.1104,7,660,490,555,292
65,4165,1782483951.235592,141.066497,2,right_2,1,1,ready,ok,0.054385,0.964444,0.964444,1,55690.62,2.2551,0.6634,0.4114,0.0772,6,662,518,552,245
66,4166,1782483951.260586,141.091959,2,right_2,1,1,ready,ok,0.001764,0.994722,0.994722,1,1806.25,1.7368,0.7961,0.4609,0.0159,10,910,752,82,48
67,4167,1782483951.292586,141.123785,2,right_2,1,1,ready,ok,0.078662,0.968611,0.968611,1,80550.00,2.0531,0.6661,0.4916,0.0515,5,635,518,580,282
68,4168,1782483951.328585,141.159517,2,right_2,1,1,ready,ok,0.068347,0.964444,0.964444,1,69987.50,2.5326,0.7591,0.5224,0.1190,4,632,525,582,230
69,4169,1782483951.360586,141.191295,2,right_2,1,1,ready,ok,0.084851,0.968611,0.968611,1,86887.50,2.3271,0.7028,0.5218,0.1115,7,592,525,622,268
70,4170,1782483951.393590,141.224748,2,right_2,1,1,ready,ok,0.095084,0.969444,0.969444,1,97365.62,2.5636,0.6775,0.5022,0.1276,6,510,525,705,275
71,4171,1782483951.427589,141.258792,2,right_2,1,1,ready,ok,0.092209,0.969444,0.969444,1,94421.87,2.5545,0.6570,0.4888,0.1105,8,512,525,702,275
72,4172,1782483951.461591,141.292380,2,right_2,1,1,ready,ok,0.104193,0.967222,0.967222,1,106693.75,2.3898,0.6540,0.5130,0.1279,7,510,505,705,295
73,4173,1782483951.493586,141.324921,2,right_2,1,1,ready,ok,0.121350,0.969722,0.969722,1,124262.50,2.7798,0.7053,0.6020,0.1256,5,458,528,758,272
74,4174,1782483951.527015,141.358217,2,right_2,1,1,ready,ok,0.113904,0.969722,0.969722,1,116637.50,2.7615,0.6803,0.5688,0.1520,6,462,528,752,272
