frame_index,source_frame_index,unix_time,perf_time,camera_id,label,detected,instant_detected,status,reason,score,object_score,history_score,history_hits,area,aspect,solidity,extent,motion_support,raw_contours,bbox_x,bbox_y,bbox_w,bbox_h
0,4095,1782483949.278093,139.109489,3,right_1,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
1,4096,1782483949.313063,139.143919,3,right_1,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
2,4097,1782483949.345095,139.176085,3,right_1,0,0,motion,area_reject,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,2,,,,
3,4098,1782483949.379055,139.209884,3,right_1,0,0,motion,no_motion_support,0.000647,0.671944,0.000000,0,662.50,3.6364,0.7413,0.2409,0.0000,1,630,570,100,28
4,4099,1782483949.411054,139.242542,3,right_1,0,0,motion,no_motion_support,0.002011,0.672778,0.000000,0,2059.37,4.7500,0.6361,0.2710,0.0000,3,565,568,190,40
5,4100,1782483949.446073,139.276963,3,right_1,0,0,motion,no_motion_support,0.001855,0.673056,0.000000,0,1900.00,4.4118,0.6129,0.2384,0.0000,4,570,568,188,42
6,4101,1782483949.479054,139.309828,3,right_1,0,0,motion,no_motion_support,0.003055,0.654912,0.000000,0,3128.12,6.3333,0.4181,0.2439,0.0000,2,480,568,285,45
7,4102,1782483949.511058,139.342496,3,right_1,0,0,motion,no_motion_support,0.005249,0.637370,0.000000,0,5375.00,7.4211,0.4990,0.3210,0.0000,2,412,568,352,48
8,4103,1782483949.544474,139.375534,3,right_1,0,0,motion,no_motion_support,0.005283,0.654201,0.000000,0,5409.37,6.4000,0.5787,0.3381,0.0000,2,452,568,320,50
9,4104,1782483949.578429,139.409870,3,right_1,0,0,motion,no_motion_support,0.003711,0.673333,0.000000,0,3800.00,5.4444,0.5183,0.3447,0.0000,3,515,568,245,45
10,4105,1782483949.611784,139.443340,3,right_1,0,0,motion,no_motion_support,0.005627,0.670049,0.000000,0,5762.50,5.6667,0.5534,0.3689,0.0000,3,480,568,298,52
11,4106,1782483949.643981,139.475639,3,right_1,0,0,motion,no_motion_support,0.007523,0.644167,0.000000,0,7703.12,7.0000,0.6214,0.3993,0.0000,2,410,568,368,52
12,4107,1782483949.677081,139.508569,3,right_1,1,1,ready,ok,0.000983,0.924167,0.924167,1,1006.25,1.2667,0.8895,0.5649,0.3474,3,518,440,48,38
13,4108,1782483949.712200,139.542897,3,right_1,1,1,ready,ok,0.001569,0.925556,0.925556,1,1606.25,0.9000,0.9698,0.7139,0.4028,4,518,440,45,50
14,4109,1782483949.744201,139.575771,3,right_1,1,1,ready,ok,0.001767,0.926111,0.926111,1,1809.37,0.8182,0.9698,0.7311,0.1793,2,515,440,45,55
15,4110,1782483949.778146,139.609151,3,right_1,1,1,ready,ok,0.001385,0.925833,0.925833,1,1418.75,0.7619,0.9619,0.6756,0.0476,2,512,440,40,52
16,4111,1782483949.812135,139.643025,3,right_1,0,0,motion,no_motion_support,0.017435,0.679444,0.000000,0,17853.12,3.8000,0.7278,0.4698,0.0000,2,405,568,380,100
17,4112,1782483949.846380,139.677322,3,right_1,0,0,motion,no_motion_support,0.022287,0.680000,0.000000,0,22821.87,3.8182,0.7362,0.4940,0.0000,2,375,565,420,110
18,4113,1782483949.877394,139.708874,3,right_1,0,0,motion,no_motion_support,0.018277,0.678889,0.000000,0,18715.62,4.1316,0.7455,0.5019,0.0000,2,385,568,392,95
19,4114,1782483949.913275,139.744496,3,right_1,0,0,motion,no_motion_support,0.017755,0.678611,0.000000,0,18181.25,4.0270,0.7987,0.5277,0.0000,2,405,568,372,92
20,4115,1782483949.945495,139.776591,3,right_1,1,1,ready,ok,0.002002,0.931944,0.931944,1,2050.00,1.3158,0.9605,0.6905,0.7032,2,570,470,62,48
21,4116,1782483949.978511,139.809786,3,right_1,1,1,ready,ok,0.026782,0.960000,0.960000,1,27425.00,3.8333,0.8958,0.6489,0.0129,2,398,568,402,105
22,4117,1782483950.012765,139.843645,3,right_1,1,1,ready,ok,0.023834,0.959444,0.959444,1,24406.25,3.7381,0.8157,0.5922,0.0170,3,385,565,392,105
23,4118,1782483950.045803,139.877018,3,right_1,1,1,ready,ok,0.025772,0.954444,0.954444,1,26390.62,2.5806,0.7096,0.4257,0.1785,5,358,518,400,155
24,4119,1782483950.077800,139.909335,3,right_1,1,1,ready,ok,0.025128,0.959167,0.959167,1,25731.25,3.0408,0.7505,0.5639,0.1849,4,350,555,372,122
25,4120,1782483950.112312,139.943467,3,right_1,1,1,ready,ok,0.020804,0.958333,0.958333,1,21303.12,3.1190,0.7819,0.6195,0.1032,4,365,560,328,105
26,4121,1782483950.145439,139.976525,3,right_1,1,1,ready,ok,0.025241,0.959722,0.959722,1,25846.87,3.6744,0.7862,0.6087,0.0664,3,305,565,395,108
27,4122,1782483950.178477,140.009207,3,right_1,1,1,ready,ok,0.030859,0.960833,0.960833,1,31600.00,3.5111,0.8301,0.7111,0.1602,3,302,568,395,112
28,4123,1782483950.212434,140.043846,3,right_1,1,1,ready,ok,0.034128,0.962500,0.962500,1,34946.87,3.2549,0.8332,0.6605,0.4207,5,300,568,415,128
29,4124,1782483950.244439,140.076049,3,right_1,1,1,ready,ok,0.046371,0.974167,0.974167,1,47484.37,1.9785,0.6251,0.4440,0.2248,7,252,568,460,232
30,4125,1782483950.278900,140.110009,3,right_1,1,1,ready,ok,0.055542,0.973889,0.973889,1,56875.00,2.0319,0.6658,0.5069,0.0242,6,238,565,478,235
31,4126,1782483950.312904,140.144138,3,right_1,1,1,ready,ok,0.060721,0.972500,0.972500,1,62178.12,2.3131,0.6134,0.4388,0.0480,6,138,552,572,248
32,4127,1782483950.345028,140.176240,3,right_1,1,1,ready,ok,0.056107,0.969722,0.969722,1,57453.12,1.7798,0.6347,0.4347,0.0898,5,225,528,485,272
33,4128,1782483950.377542,140.208510,3,right_1,1,1,ready,ok,0.071655,0.973333,0.973333,1,73375.00,2.4062,0.6894,0.5294,0.0690,5,135,560,578,240
34,4129,1782483950.413422,140.244315,3,right_1,1,1,ready,ok,0.064291,0.973056,0.973056,1,65834.37,2.0619,0.6799,0.5430,0.0564,8,210,558,500,242
35,4130,1782483950.445530,140.276171,3,right_1,1,1,ready,ok,0.062415,0.973056,0.973056,1,63912.50,2.1443,0.6375,0.5068,0.0520,6,188,558,520,242
36,4131,1782483950.479423,140.310464,3,right_1,1,1,ready,ok,0.075653,0.972778,0.972778,1,77468.75,2.2653,0.7012,0.5697,0.0666,5,152,555,555,245
37,4132,1782483950.512435,140.343989,3,right_1,1,1,ready,ok,0.084592,0.972500,0.972500,1,86621.87,2.4040,0.7327,0.5882,0.1151,8,112,552,595,248
38,4133,1782483950.544426,140.375588,3,right_1,1,1,ready,ok,0.078189,0.973056,0.973056,1,80065.62,2.4639,0.6879,0.5526,0.0633,11,65,558,598,242
39,4134,1782483950.579422,140.410109,3,right_1,1,1,ready,ok,0.076822,0.973333,0.973333,1,78665.62,2.3125,0.7431,0.5906,0.0755,12,65,560,555,240
40,4135,1782483950.612433,140.443296,3,right_1,1,1,ready,ok,0.084897,0.971667,0.971667,1,86934.37,2.4020,0.6988,0.5566,0.0499,5,65,545,612,255
41,4136,1782483950.645431,140.476569,3,right_1,1,1,ready,ok,0.070642,0.972222,0.972222,1,72337.50,2.2000,0.6701,0.5261,0.0125,8,65,550,550,250
42,4137,1782483950.679422,140.510515,3,right_1,1,1,ready,ok,0.072519,0.974167,0.974167,1,74259.37,2.2151,0.7463,0.6202,0.0789,8,100,568,515,232
43,4138,1782483950.713007,140.543730,3,right_1,1,1,ready,ok,0.084305,0.974167,0.974167,1,86328.12,2.3441,0.8085,0.6813,0.0487,13,75,568,545,232
44,4139,1782483950.745345,140.576978,3,right_1,1,1,ready,ok,0.080627,0.968611,0.968611,1,82562.50,1.9204,0.7032,0.5387,0.0363,10,68,518,542,282
45,4140,1782483950.778344,140.609510,3,right_1,1,1,ready,ok,0.078433,0.967222,0.967222,1,80315.62,1.7797,0.6508,0.5186,0.0301,12,65,505,525,295
46,4141,1782483950.812343,140.643773,3,right_1,0,0,motion,no_motion_support,0.090076,0.955168,0.000000,0,92237.50,2.5000,0.7420,0.6147,0.0056,10,65,555,612,245
47,4142,1782483950.845345,140.676222,3,right_1,0,0,motion,no_motion_support,0.086862,0.710392,0.000000,0,88946.87,2.2887,0.7691,0.6609,0.0004,10,65,558,555,242
48,4143,1782483950.878355,140.709227,3,right_1,1,1,ready,ok,0.078992,0.967778,0.967778,1,80887.50,1.7931,0.6819,0.5364,0.0336,13,65,510,520,290
49,4144,1782483950.912780,140.744107,3,right_1,1,1,ready,ok,0.088623,0.971111,0.971111,1,90750.00,2.1538,0.7624,0.6233,0.1050,9,65,540,560,260
50,4145,1782483950.943823,140.774709,3,right_1,1,1,ready,ok,0.090909,0.960000,0.960000,1,93090.62,1.6806,0.6105,0.4274,0.0332,9,65,440,605,360
51,4146,1782483950.978783,140.809771,3,right_1,0,0,motion,no_motion_support,0.081143,0.680000,0.000000,0,83090.62,1.4583,0.6070,0.4396,0.0000,7,65,440,525,360
52,4147,1782483951.010785,140.842330,3,right_1,1,1,ready,ok,0.086536,0.970556,0.970556,1,88612.50,2.1132,0.7291,0.5971,0.0372,10,65,535,560,265
53,4148,1782483951.044780,140.876344,3,right_1,1,1,ready,ok,0.092102,0.973333,0.973333,1,94312.50,2.4062,0.7943,0.6805,0.0663,8,65,560,578,240
54,4149,1782483951.076783,140.908314,3,right_1,1,1,ready,ok,0.083755,0.974167,0.974167,1,85765.62,2.1828,0.8115,0.7269,0.0347,6,65,568,508,232
55,4150,1782483951.111785,140.942812,3,right_1,1,1,ready,ok,0.087070,0.974167,0.974167,1,89159.37,2.2366,0.8448,0.7375,0.0321,10,65,568,520,232
56,4151,1782483951.144780,140.975527,3,right_1,1,1,ready,ok,0.089386,0.974167,0.974167,1,91531.25,2.4516,0.8269,0.6907,0.0072,9,65,568,570,232
57,4152,1782483951.178149,141.009482,3,right_1,1,1,ready,ok,0.080130,0.974167,0.974167,1,82053.12,2.1720,0.7913,0.6988,0.0505,7,65,568,505,232
58,4153,1782483951.211590,141.043171,3,right_1,1,1,ready,ok,0.083502,0.970000,0.970000,1,85506.25,2.0463,0.7345,0.5732,0.0704,7,65,530,552,270
59,4154,1782483951.244589,141.075595,3,right_1,1,1,ready,ok,0.090500,0.974444,0.974444,1,92671.87,2.6304,0.8134,0.6660,0.0292,4,65,570,605,230
60,4155,1782483951.277633,141.108535,3,right_1,1,1,ready,ok,0.084985,0.974444,0.974444,1,87025.00,2.2609,0.8356,0.7276,0.0070,6,65,570,520,230
61,4156,1782483951.312597,141.143538,3,right_1,1,1,ready,ok,0.075156,0.974444,0.974444,1,76959.37,2.0870,0.7833,0.6971,0.0356,7,65,570,480,230
62,4157,1782483951.345585,141.176438,3,right_1,1,1,ready,ok,0.000961,0.925556,0.925556,1,984.37,0.7500,0.7797,0.5250,0.0167,9,162,440,38,50
63,4158,1782483951.377585,141.208447,3,right_1,1,1,ready,ok,0.082574,0.974444,0.974444,1,84556.25,2.2283,0.8287,0.7173,0.0172,5,65,570,512,230
64,4159,1782483951.411590,141.242365,3,right_1,1,1,ready,ok,0.073819,0.974444,0.974444,1,75590.62,2.0000,0.8042,0.7145,0.0196,7,65,570,460,230
65,4160,1782483951.445586,141.276541,3,right_1,1,1,ready,ok,0.001654,0.926667,0.926667,1,1693.75,1.5833,0.6230,0.2971,0.1053,6,70,440,95,60
66,4161,1782483951.477597,141.308668,3,right_1,1,1,ready,ok,0.002393,0.929167,0.929167,1,2450.00,0.8788,0.7879,0.4096,0.4013,7,92,440,72,82
67,4162,1782483951.511585,141.342384,3,right_1,1,1,ready,ok,0.002292,0.930278,0.930278,1,2346.87,0.8108,0.5506,0.3383,0.6586,8,88,440,75,92
68,4163,1782483951.545022,141.376104,3,right_1,1,1,ready,ok,0.001187,0.927222,0.927222,1,1215.62,0.5000,0.8984,0.5754,0.3728,11,128,440,32,65
69,4164,1782483951.578060,141.409299,3,right_1,1,1,ready,ok,0.078284,0.968333,0.968333,1,80162.50,1.7807,0.7386,0.5542,0.0153,5,65,515,508,285
70,4165,1782483951.612019,141.442743,3,right_1,1,1,ready,ok,0.070755,0.970833,0.970833,1,72453.12,1.7238,0.7632,0.6100,0.0087,3,65,538,452,262
71,4166,1782483951.619063,141.450064,3,right_1,0,0,motion,no_motion_support,0.074167,0.694167,0.000000,0,75946.87,2.0968,0.7737,0.6701,0.0000,6,65,568,488,232
72,4167,1782483951.646015,141.476919,3,right_1,0,0,motion,no_motion_support,0.071930,0.694167,0.000000,0,73656.25,1.9892,0.7872,0.6850,0.0000,5,65,568,462,232
73,4168,1782483951.677021,141.508631,3,right_1,0,0,motion,no_motion_support,0.069043,0.693889,0.000000,0,70700.00,1.9574,0.8150,0.6540,0.0000,4,65,565,460,235
74,4169,1782483951.710016,141.541069,3,right_1,0,0,motion,no_motion_support,0.077417,0.720704,0.000000,0,79275.00,2.2366,0.7880,0.6557,0.0006,6,65,568,520,232
75,4170,1782483951.745017,141.575677,3,right_1,0,0,motion,no_motion_support,0.073770,0.694167,0.000000,0,75540.62,2.1720,0.7834,0.6434,0.0000,6,65,568,505,232
76,4171,1782483951.777197,141.608752,3,right_1,0,0,motion,no_motion_support,0.065784,0.694167,0.000000,0,67362.50,1.7957,0.8088,0.6940,0.0000,5,65,568,418,232
77,4172,1782483951.811194,141.641970,3,right_1,0,0,motion,no_motion_support,0.072552,0.694167,0.000000,0,74293.75,2.0968,0.7808,0.6555,0.0000,3,65,568,488,232
78,4173,1782483951.845462,141.676463,3,right_1,0,0,motion,no_motion_support,0.072766,0.694167,0.000000,0,74512.50,2.1075,0.7744,0.6540,0.0000,2,65,568,490,232
79,4174,1782483951.879503,141.710562,3,right_1,0,0,motion,no_motion_support,0.058493,0.694167,0.000000,0,59896.87,1.6129,0.8567,0.6870,0.0000,4,65,568,375,232
80,4175,1782483951.911757,141.742861,3,right_1,0,0,motion,no_motion_support,0.068317,0.694167,0.000000,0,69956.25,1.8387,0.8474,0.7038,0.0000,2,65,568,428,232
81,4176,1782483951.945932,141.776682,3,right_1,0,0,motion,no_motion_support,0.079956,0.694167,0.000000,0,81875.00,2.2366,0.7891,0.6772,0.0000,3,65,568,520,232
82,4177,1782483951.978582,141.809182,3,right_1,0,0,motion,no_motion_support,0.064450,0.694167,0.000000,0,65996.87,1.7849,0.8550,0.6840,0.0000,2,65,568,415,232
83,4178,1782483952.011942,141.842662,3,right_1,0,0,motion,no_motion_support,0.070569,0.694167,0.000000,0,72262.50,1.8925,0.8547,0.7064,0.0000,3,65,568,440,232
84,4179,1782483952.045228,141.876216,3,right_1,1,1,ready,ok,0.093167,0.973611,0.973611,1,95403.12,2.3053,0.8569,0.7337,0.0086,6,65,562,548,238
85,4180,1782483952.079050,141.909986,3,right_1,1,1,ready,ok,0.094824,0.971389,0.971389,1,97100.00,2.3689,0.7935,0.6182,0.0805,5,65,542,610,258
86,4181,1782483952.111247,141.942187,3,right_1,1,1,ready,ok,0.100473,0.964167,0.964167,1,102884.37,1.9457,0.7154,0.5084,0.0521,5,65,478,628,322
87,4182,1782483952.145019,141.976465,3,right_1,1,1,ready,ok,0.125827,0.972222,0.972222,1,128846.87,2.9400,0.8140,0.7012,0.1552,2,65,550,735,250
88,4183,1782483952.178018,142.009226,3,right_1,1,1,ready,ok,0.134952,0.972222,0.972222,1,138190.62,2.9000,0.8662,0.7624,0.0818,3,65,550,725,250
89,4184,1782483952.211021,142.042148,3,right_1,1,1,ready,ok,0.131012,0.972500,0.972500,1,134156.25,2.9091,0.8532,0.7528,0.1039,2,65,552,720,248
90,4185,1782483952.245033,142.075662,3,right_1,1,1,ready,ok,0.143726,0.972500,0.972500,1,147175.00,3.1010,0.8770,0.7748,0.2064,2,65,552,768,248
91,4186,1782483952.279035,142.109775,3,right_1,1,1,ready,ok,0.143509,0.971667,0.971667,1,146953.12,3.0000,0.8595,0.7533,0.1919,3,65,545,765,255
92,4187,1782483952.311020,142.142338,3,right_1,1,1,ready,ok,0.136432,0.974444,0.974444,1,139706.25,3.3043,0.9015,0.7992,0.2851,8,65,570,760,230
93,4188,1782483952.346066,142.176786,3,right_1,1,1,ready,ok,0.151556,0.974167,0.974167,1,155193.75,3.4194,0.8988,0.8396,0.2058,4,65,568,795,232
94,4189,1782483952.378022,142.209608,3,right_1,1,1,ready,ok,0.166589,0.974167,0.974167,1,170587.50,3.8495,0.9365,0.8198,0.2999,3,65,568,895,232
95,4190,1782483952.411498,142.242268,3,right_1,1,1,ready,ok,0.147260,0.973889,0.973889,1,150793.75,3.2234,0.9079,0.8471,0.5356,5,65,565,758,235
96,4191,1782483952.444555,142.276052,3,right_1,1,1,ready,ok,0.149640,0.972500,0.972500,1,153231.25,3.1414,0.8779,0.7963,0.3998,4,65,552,778,248
97,4192,1782483952.476556,142.308049,3,right_1,1,1,ready,ok,0.163385,0.974167,0.974167,1,167306.25,3.9785,0.9141,0.7779,0.2726,5,65,568,925,232
98,4193,1782483952.510556,142.341633,3,right_1,1,1,ready,ok,0.151334,0.974167,0.974167,1,154965.62,3.8065,0.8810,0.7531,0.2101,3,65,568,885,232
99,4194,1782483952.544555,142.376007,3,right_1,1,1,ready,ok,0.148254,0.974167,0.974167,1,151812.50,3.7634,0.8989,0.7462,0.1586,4,65,568,875,232
100,4195,1782483952.577556,142.408849,3,right_1,1,1,ready,ok,0.150150,0.973889,0.973889,1,153753.12,3.9149,0.9084,0.7112,0.2133,4,65,565,920,235
101,4196,1782483952.610945,142.441883,3,right_1,1,1,ready,ok,0.141562,0.973889,0.973889,1,144959.37,3.5638,0.9222,0.7365,0.5187,4,65,565,838,235
102,4197,1782483952.645947,142.476990,3,right_1,1,1,ready,ok,0.134967,0.974167,0.974167,1,138206.25,3.6452,0.8957,0.7014,0.3122,4,65,568,848,232
103,4198,1782483952.677945,142.508568,3,right_1,1,1,ready,ok,0.132730,0.973889,0.973889,1,135915.62,3.6809,0.8708,0.6686,0.2970,4,65,565,865,235
104,4199,1782483952.709950,142.541441,3,right_1,1,1,ready,ok,0.130444,0.973889,0.973889,1,133575.00,3.5000,0.8722,0.6911,0.2160,4,65,565,822,235
105,4200,1782483952.744944,142.576054,3,right_1,1,1,ready,ok,0.000998,0.995278,0.995278,1,1021.87,2.8235,0.3645,0.2004,0.7071,8,135,758,120,42
