frame_index,source_frame_index,unix_time,perf_time,camera_id,label,detected,instant_detected,status,reason,score,object_score,history_score,history_hits,area,aspect,solidity,extent,motion_support,raw_contours,bbox_x,bbox_y,bbox_w,bbox_h
0,226,1782300870.729521,9.858811,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
1,227,1782300870.761846,9.891291,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
2,228,1782300870.796812,9.925931,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
3,229,1782300870.828947,9.958340,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
4,230,1782300870.861945,9.991819,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
5,231,1782300870.895944,10.024924,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
6,232,1782300870.929463,10.058542,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
7,233,1782300870.963460,10.092329,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
8,234,1782300870.996461,10.125979,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
9,235,1782300871.027992,10.157667,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
10,236,1782300871.061993,10.190807,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
11,237,1782300871.096994,10.226053,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
12,238,1782300871.129519,10.258456,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
13,239,1782300871.161519,10.291170,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
14,240,1782300871.194522,10.323709,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
15,241,1782300871.229048,10.357735,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
16,242,1782300871.263043,10.392588,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
17,243,1782300871.308051,10.437945,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
18,244,1782300871.330562,10.459626,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
19,245,1782300871.362560,10.492377,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
20,246,1782300871.394559,10.524392,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
21,247,1782300871.429023,10.558333,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
22,248,1782300871.462022,10.591047,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
23,249,1782300871.495022,10.624401,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
24,250,1782300871.529540,10.659326,1,left_2,1,1,ready,ok,0.016913,0.944444,0.944444,1,17318.75,1.3281,0.6807,0.5094,0.7994,18,502,640,212,160
25,251,1782300871.561543,10.691326,1,left_2,1,1,ready,ok,0.141034,0.901910,0.901910,1,144418.75,2.7345,0.7815,0.6618,0.5579,2,65,518,772,282
26,252,1782300871.594539,10.723760,1,left_2,1,1,ready,ok,0.133496,0.902778,0.902778,1,136700.00,2.3661,0.8090,0.7369,0.0360,1,65,520,662,280
27,253,1782300871.628098,10.757431,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
28,254,1782300871.663070,10.791660,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
29,255,1782300871.696344,10.824946,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
30,256,1782300871.728874,10.858122,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
31,257,1782300871.762763,10.891806,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
32,258,1782300871.796761,10.925882,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
33,259,1782300871.829291,10.958298,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
34,260,1782300871.861960,10.991039,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
35,261,1782300871.895706,11.025047,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
36,262,1782300871.929440,11.059100,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
37,263,1782300871.962468,11.091427,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
38,264,1782300871.996147,11.125311,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
39,265,1782300872.028669,11.158340,1,left_2,0,0,idle,no_motion,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,0,,,,
40,266,1782300872.061670,11.190743,1,left_2,0,0,motion,area_reject,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,1,,,,
41,267,1782300872.095667,11.225248,1,left_2,0,0,motion,area_reject,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,3,,,,
42,268,1782300872.129187,11.258385,1,left_2,1,1,ready,ok,0.000742,0.731354,0.731354,1,759.37,1.6000,0.6075,0.3375,0.0000,3,65,650,60,38
43,269,1782300872.161187,11.290895,1,left_2,1,1,ready,ok,0.000635,0.819132,0.819132,1,650.00,1.5789,0.5503,0.1825,0.0000,7,135,752,75,48
44,270,1782300872.195188,11.324644,1,left_2,1,1,ready,ok,0.000497,0.813111,0.813111,1,509.37,1.6875,0.4970,0.1887,0.0000,7,135,760,68,40
45,271,1782300872.228484,11.357631,1,left_2,1,1,ready,ok,0.004645,0.923979,0.923979,1,4756.25,2.2424,0.4875,0.3116,0.0000,5,65,718,185,82
46,272,1782300872.261482,11.390993,1,left_2,1,1,ready,ok,0.026001,0.931424,0.931424,1,26625.00,1.3544,0.6599,0.5040,0.0000,2,65,602,268,198
47,273,1782300872.294480,11.423617,1,left_2,1,1,ready,ok,0.036172,0.927951,0.927951,1,37040.62,1.5422,0.7084,0.5578,0.0000,2,65,592,320,208
48,274,1782300872.329485,11.458686,1,left_2,1,1,ready,ok,0.045117,0.927083,0.927083,1,46200.00,1.6667,0.8037,0.6286,0.0000,1,65,590,350,210
49,275,1782300872.363482,11.492421,1,left_2,1,1,ready,ok,0.048901,0.927083,0.927083,1,50075.00,1.6905,0.8218,0.6717,0.0000,1,65,590,355,210
50,276,1782300872.395484,11.525143,1,left_2,1,1,ready,ok,0.050198,0.925347,0.925347,1,51403.12,1.6628,0.8239,0.6688,0.0000,2,65,585,358,215
51,277,1782300872.429481,11.559112,1,left_2,1,1,ready,ok,0.050702,0.925347,0.925347,1,51918.75,1.7558,0.8220,0.6397,0.0000,2,65,585,378,215
52,278,1782300872.461484,11.590925,1,left_2,1,1,ready,ok,0.050259,0.924479,0.924479,1,51465.62,1.6782,0.8543,0.6483,0.0000,2,65,582,365,218
53,279,1782300872.495484,11.625056,1,left_2,1,1,ready,ok,0.048218,0.923611,0.923611,1,49375.00,1.4091,0.8771,0.7240,0.0000,1,65,580,310,220
54,280,1782300872.528484,11.657494,1,left_2,1,1,ready,ok,0.041278,0.924479,0.924479,1,42268.75,1.3333,0.8082,0.6701,0.0000,1,65,582,290,218
55,281,1782300872.562489,11.691526,1,left_2,1,1,ready,ok,0.023233,0.936632,0.936632,1,23790.62,1.0959,0.8413,0.6518,0.0000,3,65,618,200,182
56,282,1782300872.595480,11.724897,1,left_2,1,1,ready,ok,0.009213,0.942708,0.942708,1,9434.37,0.7727,0.7065,0.4485,0.0000,2,65,635,128,165
57,283,1782300872.629482,11.759120,1,left_2,1,1,ready,ok,0.002252,0.782882,0.782882,1,2306.25,0.9091,0.5956,0.3727,0.0000,2,65,645,75,82
58,284,1782300872.663488,11.792428,1,left_2,0,0,motion,tiny_box,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,3,,,,
59,285,1782300872.697488,11.826346,1,left_2,0,0,motion,tiny_box,0.000000,0.000000,0.000000,0,0.00,0.0000,0.0000,0.0000,0.0000,2,,,,
