group,camera_id,label,frame_index,unix_time,perf_time,hand_index,handedness,hand_score,wrist_x_px,wrist_y_px,wrist_z_rel,wrist_x_norm,wrist_y_norm,thumb_cmc_x_px,thumb_cmc_y_px,thumb_cmc_z_rel,thumb_cmc_x_norm,thumb_cmc_y_norm,thumb_mcp_x_px,thumb_mcp_y_px,thumb_mcp_z_rel,thumb_mcp_x_norm,thumb_mcp_y_norm,thumb_ip_x_px,thumb_ip_y_px,thumb_ip_z_rel,thumb_ip_x_norm,thumb_ip_y_norm,thumb_tip_x_px,thumb_tip_y_px,thumb_tip_z_rel,thumb_tip_x_norm,thumb_tip_y_norm,index_mcp_x_px,index_mcp_y_px,index_mcp_z_rel,index_mcp_x_norm,index_mcp_y_norm,index_pip_x_px,index_pip_y_px,index_pip_z_rel,index_pip_x_norm,index_pip_y_norm,index_dip_x_px,index_dip_y_px,index_dip_z_rel,index_dip_x_norm,index_dip_y_norm,index_tip_x_px,index_tip_y_px,index_tip_z_rel,index_tip_x_norm,index_tip_y_norm,middle_mcp_x_px,middle_mcp_y_px,middle_mcp_z_rel,middle_mcp_x_norm,middle_mcp_y_norm,middle_pip_x_px,middle_pip_y_px,middle_pip_z_rel,middle_pip_x_norm,middle_pip_y_norm,middle_dip_x_px,middle_dip_y_px,middle_dip_z_rel,middle_dip_x_norm,middle_dip_y_norm,middle_tip_x_px,middle_tip_y_px,middle_tip_z_rel,middle_tip_x_norm,middle_tip_y_norm,ring_mcp_x_px,ring_mcp_y_px,ring_mcp_z_rel,ring_mcp_x_norm,ring_mcp_y_norm,ring_pip_x_px,ring_pip_y_px,ring_pip_z_rel,ring_pip_x_norm,ring_pip_y_norm,ring_dip_x_px,ring_dip_y_px,ring_dip_z_rel,ring_dip_x_norm,ring_dip_y_norm,ring_tip_x_px,ring_tip_y_px,ring_tip_z_rel,ring_tip_x_norm,ring_tip_y_norm,pinky_mcp_x_px,pinky_mcp_y_px,pinky_mcp_z_rel,pinky_mcp_x_norm,pinky_mcp_y_norm,pinky_pip_x_px,pinky_pip_y_px,pinky_pip_z_rel,pinky_pip_x_norm,pinky_pip_y_norm,pinky_dip_x_px,pinky_dip_y_px,pinky_dip_z_rel,pinky_dip_x_norm,pinky_dip_y_norm,pinky_tip_x_px,pinky_tip_y_px,pinky_tip_z_rel,pinky_tip_x_norm,pinky_tip_y_norm
event_group_000_left_1_left_2_right_1_right_2,1,left_2,477,1782300886.626356,25.755801,0,Left,0.886161,8.31,185.44,0.000001,0.006494,0.231801,42.58,275.25,-0.058981,0.033263,0.344060,109.79,377.63,-0.042727,0.085776,0.472034,148.12,455.08,-0.005019,0.115716,0.568853,190.80,498.00,0.043720,0.149063,0.622504,250.95,297.33,-0.023915,0.196053,0.371663,337.51,400.71,-0.020287,0.263683,0.500893,362.70,482.39,-0.016816,0.283356,0.602988,370.18,550.77,-0.009132,0.289201,0.688464,237.38,279.52,0.022434,0.185456,0.349402,294.60,402.98,0.036856,0.230160,0.503720,288.36,462.15,0.037101,0.225282,0.577686,282.02,491.64,0.037476,0.220326,0.614544,218.34,278.03,0.062377,0.170576,0.347535,217.22,413.90,0.055600,0.169704,0.517379,147.71,416.62,0.033751,0.115401,0.520772,116.43,393.65,0.027089,0.090958,0.492066,201.00,286.04,0.100178,0.157028,0.357548,196.10,379.28,0.090384,0.153206,0.474097,153.71,394.51,0.073405,0.120085,0.493138,128.16,376.47,0.067436,0.100128,0.470588
event_group_000_left_1_left_2_right_1_right_2,1,left_2,478,1782300886.660357,25.789372,0,Left,0.914538,18.95,193.04,0.000001,0.014804,0.241296,43.41,293.57,-0.063257,0.033917,0.366968,123.24,394.20,-0.061453,0.096278,0.492754,177.53,465.33,-0.036754,0.138693,0.581664,231.91,502.31,-0.002417,0.181181,0.627885,256.35,299.59,-0.066214,0.200274,0.374483,348.15,399.48,-0.075603,0.271996,0.499345,375.47,482.78,-0.080967,0.293333,0.603472,385.43,551.15,-0.078529,0.301116,0.688940,257.16,262.36,-0.020398,0.200906,0.327949,322.64,392.48,-0.009315,0.252064,0.490599,317.77,467.27,-0.005518,0.248261,0.584092,310.50,509.67,-0.005023,0.242577,0.637083,248.54,246.14,0.021388,0.194170,0.307670,250.65,385.94,0.021815,0.195823,0.482427,181.65,410.49,0.012614,0.141916,0.513109,142.51,406.31,0.010255,0.111334,0.507888,235.21,244.94,0.060038,0.183759,0.306171,235.66,349.27,0.062631,0.184113,0.436587,194.81,381.95,0.059253,0.152195,0.477435,163.59,380.33,0.060090,0.127805,0.475410
event_group_000_left_1_left_2_right_1_right_2,1,left_2,479,1782300886.694355,25.823476,0,Left,0.929529,38.46,181.56,0.000001,0.030044,0.226949,55.53,275.55,-0.059610,0.043381,0.344433,125.45,373.54,-0.060981,0.098007,0.466927,183.66,445.84,-0.044050,0.143481,0.557294,242.35,479.70,-0.020050,0.189338,0.599623,268.05,305.81,-0.044017,0.209414,0.382266,354.07,398.86,-0.045109,0.276619,0.498581,378.31,475.69,-0.044407,0.295553,0.594609,385.41,538.70,-0.039646,0.301102,0.673376,272.40,275.00,-0.002883,0.212813,0.343747,332.43,393.91,0.008089,0.259711,0.492381,326.76,466.20,0.011338,0.255282,0.582754,314.44,511.94,0.012898,0.245655,0.639926,260.70,258.01,0.033385,0.203673,0.322517,268.85,382.63,0.030726,0.210038,0.478290,220.02,418.01,0.017225,0.171888,0.522514,190.04,430.75,0.012056,0.148468,0.538433,242.55,253.05,0.066791,0.189495,0.316315,246.64,346.46,0.063330,0.192684,0.433079,217.11,386.71,0.054166,0.169617,0.483393,190.30,402.36,0.051185,0.148675,0.502944
event_group_000_left_1_left_2_right_1_right_2,1,left_2,480,1782300886.725354,25.854526,0,Left,0.911181,57.18,159.07,0.000001,0.044674,0.198839,65.93,251.28,-0.067972,0.051511,0.314101,128.29,343.22,-0.066382,0.100228,0.429028,169.00,411.57,-0.043776,0.132034,0.514463,208.62,461.34,-0.012112,0.162986,0.576674,273.36,305.42,-0.048127,0.213561,0.381771,349.45,403.73,-0.054071,0.273009,0.504668,372.66,479.94,-0.056473,0.291141,0.599922,384.66,546.36,-0.054010,0.300519,0.682947,278.93,281.58,-0.006296,0.217916,0.351972,332.42,395.14,0.002978,0.259700,0.493929,328.99,467.02,0.005496,0.257023,0.583781,320.74,515.19,0.006065,0.250581,0.643987,272.15,267.76,0.027833,0.212614,0.334694,263.72,391.92,0.017384,0.206034,0.489904,194.96,413.00,-0.001514,0.152309,0.516246,161.67,411.62,-0.008506,0.126304,0.514523,257.34,265.95,0.057980,0.201049,0.332436,243.87,356.67,0.045419,0.190520,0.445834,199.37,384.20,0.029157,0.155759,0.480256,168.31,381.08,0.021721,0.131494,0.476345
event_group_000_left_1_left_2_right_1_right_2,1,left_2,481,1782300886.760357,25.890072,0,Left,0.856788,72.06,145.17,0.000000,0.056297,0.181461,79.19,226.34,-0.068990,0.061867,0.282921,126.28,326.02,-0.088999,0.098659,0.407529,148.64,403.30,-0.084634,0.116123,0.504127,181.47,460.68,-0.072808,0.141776,0.575846,266.91,280.23,-0.120929,0.208523,0.350286,343.69,397.27,-0.155913,0.268504,0.496588,367.33,486.06,-0.175622,0.286979,0.607571,380.74,556.31,-0.183610,0.297453,0.695383,272.88,267.26,-0.081087,0.213187,0.334075,252.26,434.31,-0.098279,0.197079,0.542892,183.41,453.89,-0.091944,0.143286,0.567366,147.26,433.88,-0.086760,0.115047,0.542347,266.96,268.31,-0.043402,0.208564,0.335387,233.09,415.86,-0.061740,0.182105,0.519829,165.28,405.92,-0.056532,0.129126,0.507394,144.66,373.76,-0.049811,0.113017,0.467194,248.82,275.13,-0.009109,0.194390,0.343916,221.65,384.82,-0.017185,0.173164,0.481031,173.90,393.13,-0.010905,0.135861,0.491417,150.49,369.89,-0.004022,0.117567,0.462361
event_group_000_left_1_left_2_right_1_right_2,1,left_2,482,1782300886.793358,25.922451,0,Left,0.954662,81.40,130.69,0.000000,0.063596,0.163366,56.52,244.65,-0.059735,0.044158,0.305814,97.95,355.84,-0.070450,0.076521,0.444795,145.76,427.65,-0.057658,0.113878,0.534562,190.66,469.70,-0.036898,0.148951,0.587130,259.48,290.61,-0.103296,0.202720,0.363264,345.58,405.78,-0.123782,0.269981,0.507226,373.11,491.17,-0.130223,0.291492,0.613967,385.13,556.98,-0.129220,0.300884,0.696225,287.80,260.14,-0.062970,0.224846,0.325179,280.03,419.08,-0.071511,0.218774,0.523849,210.41,439.44,-0.059736,0.164385,0.549301,163.08,418.12,-0.049976,0.127409,0.522646,298.39,246.35,-0.023272,0.233118,0.307933,285.71,383.52,-0.035643,0.223215,0.479404,220.69,394.31,-0.032053,0.172415,0.492893,185.74,374.13,-0.026882,0.145112,0.467666,292.15,243.07,0.014387,0.228245,0.303836,280.74,348.21,0.008807,0.219332,0.435263,234.09,365.20,0.011958,0.182884,0.456500,203.08,346.17,0.016418,0.158659,0.432711
event_group_000_left_1_left_2_right_1_right_2,1,left_2,483,1782300886.826355,25.955411,0,Left,0.891635,84.66,123.63,0.000000,0.066142,0.154533,74.80,237.99,-0.065610,0.058437,0.297487,128.04,349.12,-0.057444,0.100028,0.436399,164.44,418.57,-0.021884,0.128466,0.523214,191.82,464.16,0.024473,0.149859,0.580197,301.44,298.54,-0.069572,0.235502,0.373180,370.33,409.22,-0.067255,0.289321,0.511526,386.59,493.11,-0.059267,0.302020,0.616394,390.85,557.51,-0.050514,0.305349,0.696885,299.34,271.98,-0.017255,0.233857,0.339980,266.20,421.91,-0.013652,0.207966,0.527385,187.11,423.09,-0.005833,0.146177,0.528864,142.13,387.63,0.002213,0.111037,0.484537,287.26,264.24,0.032775,0.224424,0.330296,253.89,393.20,0.026310,0.198355,0.491506,180.95,381.22,0.015437,0.141370,0.476519,154.64,347.60,0.012337,0.120809,0.434499,272.37,264.33,0.080683,0.212787,0.330413,236.54,356.79,0.071956,0.184796,0.445992,185.91,358.54,0.059545,0.145242,0.448179,162.89,333.65,0.054614,0.127258,0.417064
event_group_000_left_1_left_2_right_1_right_2,1,left_2,484,1782300886.859357,25.988256,0,Left,0.621089,92.86,127.16,0.000000,0.072544,0.158951,104.14,250.51,-0.053043,0.081359,0.313143,166.35,357.64,-0.046810,0.129961,0.447048,209.33,417.64,-0.010506,0.163541,0.522050,245.02,462.75,0.036785,0.191425,0.578437,312.15,300.09,-0.107764,0.243868,0.375109,382.45,407.77,-0.099025,0.298786,0.509706,395.73,484.39,-0.076184,0.309161,0.605494,394.96,540.26,-0.056935,0.308560,0.675323,298.33,274.09,-0.055553,0.233074,0.342610,299.83,419.45,-0.032465,0.234239,0.524316,234.34,442.33,-0.003690,0.183078,0.552909,187.98,429.78,0.010500,0.146857,0.537222,276.75,268.47,-0.000863,0.216211,0.335588,272.59,394.56,0.009443,0.212962,0.493198,209.65,397.24,0.011139,0.163790,0.496555,176.72,375.61,0.008172,0.138063,0.469518,252.82,275.82,0.053873,0.197516,0.344776,242.18,362.95,0.059365,0.189200,0.453692,198.13,373.10,0.055619,0.154787,0.466378,167.61,355.69,0.050420,0.130947,0.444615
event_group_000_left_1_left_2_right_1_right_2,1,left_2,485,1782300886.893357,26.022463,0,Left,0.975719,96.25,117.78,0.000001,0.075199,0.147229,74.32,256.29,-0.058413,0.058066,0.320361,133.19,363.11,-0.044839,0.104058,0.453892,182.85,426.95,-0.002564,0.142850,0.533692,220.19,470.16,0.051756,0.172025,0.587697,301.47,297.12,-0.076752,0.235524,0.371395,384.54,406.25,-0.064968,0.300422,0.507806,409.14,483.62,-0.048737,0.319640,0.604527,412.39,546.04,-0.033187,0.322178,0.682546,308.99,257.27,-0.018706,0.241399,0.321582,371.09,371.52,0.008597,0.289910,0.464399,370.40,432.98,0.028214,0.289372,0.541220,359.41,471.53,0.037858,0.280790,0.589417,300.12,244.90,0.039203,0.234472,0.306122,305.31,365.37,0.054643,0.238526,0.456708,245.70,394.90,0.045875,0.191954,0.493627,201.25,397.50,0.039489,0.157229,0.496874,284.59,249.70,0.095161,0.222336,0.312124,272.87,340.27,0.100751,0.213180,0.425343,229.05,370.92,0.086902,0.178942,0.463656,186.93,374.29,0.078025,0.146040,0.467863
event_group_000_left_1_left_2_right_1_right_2,1,left_2,486,1782300886.924357,26.054198,0,Left,0.962617,98.52,126.76,0.000001,0.076970,0.158456,99.71,257.48,-0.072709,0.077895,0.321852,168.79,363.71,-0.052038,0.131870,0.454635,211.51,433.57,-0.001654,0.165239,0.541967,242.94,475.02,0.062048,0.189797,0.593771,335.73,307.40,-0.047383,0.262289,0.384248,410.80,417.08,-0.036024,0.320940,0.521356,434.66,493.92,-0.024322,0.339580,0.617396,441.91,560.33,-0.011730,0.345245,0.700415,331.78,276.11,0.012346,0.259207,0.345137,392.55,393.69,0.037081,0.306677,0.492112,402.33,466.31,0.045936,0.314319,0.582886,398.50,519.43,0.050508,0.311332,0.649292,312.34,264.40,0.065885,0.244012,0.330502,286.20,396.20,0.064402,0.223594,0.495255,207.19,411.73,0.037422,0.161867,0.514668,159.41,404.20,0.026239,0.124536,0.505251,289.59,269.09,0.116252,0.226240,0.336368,252.47,363.72,0.100443,0.197246,0.454644,198.85,382.79,0.069372,0.155350,0.478488,162.42,375.83,0.053301,0.126889,0.469794
