frame_index,source_frame_index,unix_time,perf_time,camera_id,label,detected,instant_detected,status,reason,score,object_score,history_score,history_hits,area,aspect,solidity,extent,motion_support,raw_contours,bbox_x,bbox_y,bbox_w,bbox_h
0,12687,1782484233.857072,423.688396,2,right_2,0,0,motion,no_motion_support,0.003186,0.692222,0.000000,0,3262.50,2.5000,0.8074,0.5220,0.0000,4,212,650,125,50
1,12688,1782484233.890053,423.721239,2,right_2,0,0,motion,no_motion_support,0.003180,0.692222,0.000000,0,3256.25,2.5500,0.7991,0.5108,0.0000,4,212,650,128,50
2,12689,1782484233.925046,423.755764,2,right_2,0,0,motion,no_motion_support,0.003180,0.692222,0.000000,0,3256.25,2.5000,0.8040,0.5210,0.0000,4,215,650,125,50
3,12690,1782484233.959170,423.789781,2,right_2,0,0,motion,no_motion_support,0.003210,0.692222,0.000000,0,3287.50,2.5000,0.8018,0.5260,0.0000,4,215,650,125,50
4,12691,1782484233.992170,423.822846,2,right_2,0,0,motion,no_motion_support,0.003204,0.692222,0.000000,0,3281.25,2.5000,0.8077,0.5250,0.0000,4,215,650,125,50
5,12692,1782484234.022044,423.853389,2,right_2,0,0,motion,no_motion_support,0.003183,0.692222,0.000000,0,3259.37,2.5000,0.8067,0.5215,0.0000,4,212,650,125,50
6,12693,1782484234.056044,423.887192,2,right_2,0,0,motion,no_motion_support,0.003146,0.692500,0.000000,0,3221.87,2.5789,0.8131,0.5537,0.0000,4,215,652,122,48
7,12694,1782484234.090042,423.920856,2,right_2,0,0,motion,no_motion_support,0.003116,0.692222,0.000000,0,3190.62,2.4500,0.8008,0.5209,0.0000,5,215,650,122,50
8,12695,1782484234.122042,423.953125,2,right_2,0,0,motion,no_motion_support,0.003040,0.692500,0.000000,0,3112.50,2.5789,0.7994,0.5349,0.0000,4,215,652,122,48
9,12696,1782484234.157043,423.987805,2,right_2,0,0,motion,no_motion_support,0.010358,0.736420,0.000000,0,10606.25,2.0833,0.8441,0.6285,0.0019,4,108,440,188,90
10,12697,1782484234.189061,424.019997,2,right_2,1,1,ready,ok,0.010199,0.930000,0.930000,1,10443.75,2.0833,0.8368,0.6189,0.0133,4,108,440,188,90
11,12698,1782484234.223085,424.053685,2,right_2,1,1,ready,ok,0.010211,0.930000,0.930000,1,10456.25,2.0833,0.8284,0.6196,0.0178,5,108,440,188,90
12,12699,1782484234.258046,424.088659,2,right_2,1,1,ready,ok,0.010104,0.930000,0.930000,1,10346.87,2.0833,0.8321,0.6131,0.0174,4,108,440,188,90
13,12700,1782484234.291045,424.121559,2,right_2,0,0,motion,no_motion_support,0.002972,0.692500,0.000000,0,3043.75,2.5789,0.7919,0.5231,0.0000,4,215,652,122,48
14,12701,1782484234.323045,424.153564,2,right_2,1,1,ready,ok,0.010022,0.930000,0.930000,1,10262.50,2.0833,0.8272,0.6081,0.0104,4,108,440,188,90
15,12702,1782484234.356084,424.187485,2,right_2,1,1,ready,ok,0.010046,0.930000,0.930000,1,10287.50,2.0833,0.8271,0.6096,0.0522,4,108,440,188,90
16,12703,1782484234.391046,424.221549,2,right_2,1,1,ready,ok,0.010321,0.930000,0.930000,1,10568.75,2.0833,0.8455,0.6263,0.0759,4,108,440,188,90
17,12704,1782484234.423046,424.254102,2,right_2,1,1,ready,ok,0.010364,0.930000,0.930000,1,10612.50,2.0833,0.8486,0.6289,0.1004,4,108,440,188,90
18,12705,1782484234.458066,424.288492,2,right_2,1,1,ready,ok,0.010345,0.930000,0.930000,1,10593.75,2.0833,0.8477,0.6278,0.1122,4,108,440,188,90
19,12706,1782484234.491056,424.321536,2,right_2,1,1,ready,ok,0.010431,0.930000,0.930000,1,10681.25,2.0833,0.8530,0.6330,0.0948,4,108,440,188,90
20,12707,1782484234.523062,424.354465,2,right_2,1,1,ready,ok,0.010455,0.930000,0.930000,1,10706.25,2.0833,0.8535,0.6344,0.0344,4,108,440,188,90
21,12708,1782484234.558046,424.389148,2,right_2,1,1,ready,ok,0.010449,0.930000,0.930000,1,10700.00,2.0833,0.8532,0.6341,0.0563,4,108,440,188,90
22,12709,1782484234.589099,424.419897,2,right_2,1,1,ready,ok,0.010492,0.930000,0.930000,1,10743.75,2.0833,0.8518,0.6367,0.0741,4,108,440,188,90
23,12710,1782484234.624110,424.454792,2,right_2,1,1,ready,ok,0.010486,0.930000,0.930000,1,10737.50,2.0833,0.8524,0.6363,0.0915,4,108,440,188,90
24,12711,1782484234.657084,424.488392,2,right_2,1,1,ready,ok,0.010492,0.929722,0.929722,1,10743.75,2.1429,0.8565,0.6549,0.0990,4,108,440,188,88
25,12712,1782484234.694089,424.524765,2,right_2,1,1,ready,ok,0.010614,0.930000,0.930000,1,10868.75,2.0833,0.8543,0.6441,0.0807,4,108,440,188,90
26,12713,1782484234.725055,424.555520,2,right_2,1,1,ready,ok,0.010696,0.929722,0.929722,1,10953.12,2.1429,0.8601,0.6676,0.0846,4,108,440,188,88
27,12714,1782484234.760051,424.590751,2,right_2,1,1,ready,ok,0.010764,0.930000,0.930000,1,11021.87,2.0833,0.8636,0.6531,0.0863,4,108,440,188,90
28,12715,1782484234.795059,424.626272,2,right_2,1,1,ready,ok,0.002954,0.972500,0.972500,1,3025.00,2.5789,0.7928,0.5199,0.0086,4,215,652,122,48
29,12716,1782484234.823170,424.654716,2,right_2,1,1,ready,ok,0.003021,0.972500,0.972500,1,3093.75,2.5789,0.8062,0.5317,0.0129,4,215,652,122,48
30,12717,1782484234.858052,424.688746,2,right_2,1,1,ready,ok,0.003021,0.972778,0.972778,1,3093.75,2.7222,0.8209,0.5612,0.0261,4,215,655,122,45
31,12718,1782484234.889154,424.720144,2,right_2,1,1,ready,ok,0.003015,0.972500,0.972500,1,3087.50,2.8824,0.8510,0.5930,0.0348,4,215,655,122,42
32,12719,1782484234.923173,424.754223,2,right_2,1,1,ready,ok,0.003223,0.972500,0.972500,1,3300.00,2.5789,0.8523,0.5671,0.0591,4,215,652,122,48
33,12720,1782484234.957168,424.788192,2,right_2,1,1,ready,ok,0.003351,0.972500,0.972500,1,3431.25,2.5789,0.8714,0.5897,0.0720,4,215,652,122,48
34,12721,1782484234.991053,424.821779,2,right_2,1,1,ready,ok,0.003406,0.972500,0.972500,1,3487.50,2.5789,0.8801,0.5994,0.1074,4,215,652,122,48
35,12722,1782484235.024044,424.854784,2,right_2,1,1,ready,ok,0.003479,0.972778,0.972778,1,3562.50,2.7222,0.9120,0.6463,0.1372,4,215,655,122,45
36,12723,1782484235.056058,424.887003,2,right_2,1,1,ready,ok,0.003622,0.972778,0.972778,1,3709.37,2.4500,0.8979,0.6056,0.1408,4,215,652,122,50
37,12724,1782484235.099052,424.929441,2,right_2,1,1,ready,ok,0.004013,0.971111,0.971111,1,4109.37,1.8846,0.8349,0.5161,0.1099,4,215,638,122,65
38,12725,1782484235.119575,424.950420,2,right_2,1,1,ready,ok,0.004120,0.971111,0.971111,1,4218.75,1.8846,0.8411,0.5298,0.1122,4,215,638,122,65
39,12726,1782484235.153200,424.983744,2,right_2,1,1,ready,ok,0.004276,0.971389,0.971389,1,4378.12,1.8148,0.8506,0.5295,0.1104,4,215,638,122,68
40,12727,1782484235.185611,425.016339,2,right_2,1,1,ready,ok,0.004422,0.971667,0.971667,1,4528.12,1.7500,0.8569,0.5281,0.0904,4,215,638,122,70
41,12728,1782484235.217526,425.048871,2,right_2,1,1,ready,ok,0.004489,0.971667,0.971667,1,4596.87,1.7500,0.8668,0.5361,0.0678,5,215,638,122,70
42,12729,1782484235.252756,425.084008,2,right_2,1,1,ready,ok,0.004669,0.971667,0.971667,1,4781.25,1.7857,0.8605,0.5464,0.0336,4,212,638,125,70
43,12730,1782484235.284805,425.115798,2,right_2,1,1,ready,ok,0.004617,0.971667,0.971667,1,4728.12,1.7857,0.8601,0.5404,0.0136,4,212,638,125,70
44,12731,1782484235.318799,425.149905,2,right_2,1,1,ready,ok,0.012085,0.930556,0.930556,1,12375.00,1.9737,0.8429,0.6947,0.1130,4,108,440,188,95
45,12732,1782484235.351756,425.183049,2,right_2,1,1,ready,ok,0.004642,0.971667,0.971667,1,4753.12,1.7857,0.8622,0.5432,0.0079,4,212,638,125,70
46,12733,1782484235.384799,425.215736,2,right_2,1,1,ready,ok,0.004718,0.971667,0.971667,1,4831.25,1.7857,0.8666,0.5521,0.0079,4,212,638,125,70
47,12734,1782484235.419756,425.250769,2,right_2,1,1,ready,ok,0.014645,0.931111,0.931111,1,14996.87,1.9000,0.9675,0.7893,0.1039,4,105,440,190,100
48,12735,1782484235.450755,425.282117,2,right_2,1,1,ready,ok,0.015247,0.931111,0.931111,1,15612.50,1.9000,0.9860,0.8217,0.0970,4,105,440,190,100
49,12736,1782484235.484756,425.315890,2,right_2,1,1,ready,ok,0.015662,0.931111,0.931111,1,16037.50,1.9250,0.9873,0.8331,0.0922,4,102,440,192,100
50,12737,1782484235.517758,425.349143,2,right_2,1,1,ready,ok,0.015988,0.931111,0.931111,1,16371.87,1.9500,0.9881,0.8396,0.0724,4,100,440,195,100
51,12738,1782484235.550793,425.382043,2,right_2,1,1,ready,ok,0.016138,0.931111,0.931111,1,16525.00,1.9750,0.9882,0.8367,0.0187,4,98,440,198,100
52,12739,1782484235.585874,425.416869,2,right_2,0,0,motion,no_motion_support,0.004788,0.691944,0.000000,0,4903.12,1.7241,0.8536,0.5410,0.0000,4,212,638,125,72
53,12740,1782484235.618860,425.450222,2,right_2,0,0,motion,no_motion_support,0.004764,0.691667,0.000000,0,4878.12,1.7857,0.8591,0.5575,0.0000,4,212,638,125,70
54,12741,1782484235.651771,425.482827,2,right_2,0,0,motion,no_motion_support,0.004776,0.691944,0.000000,0,4890.62,1.7241,0.8557,0.5397,0.0000,4,212,638,125,72
55,12742,1782484235.685867,425.516462,2,right_2,0,0,motion,no_motion_support,0.004755,0.691667,0.000000,0,4868.75,1.7857,0.8704,0.5564,0.0000,4,212,638,125,70
